22 - 36, government, pre-primary, *, *, *, *, north-america, 10075
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 45926
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 36072
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 73513
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 73317
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 73458
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 68527
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 33706
49 - 56, private, pre-high-school, married, customer-service, *, female, *, 42789
41 - 59, private, pre-high-school, married, protective-serv, *, male, *, 36981
41 - 59, private, pre-high-school, married, protective-serv, *, male, *, 68162
41 - 59, private, pre-high-school, married, protective-serv, *, male, *, 25769
41 - 59, private, pre-high-school, married, protective-serv, *, male, *, 20568
41 - 59, private, pre-high-school, married, protective-serv, *, male, *, 60625
62 - 76, private, pre-high-school, married-civ-spouse, protective-serv, white, male, north-america, 41525
62 - 76, private, pre-high-school, married-civ-spouse, protective-serv, white, male, north-america, 39400
62 - 76, private, pre-high-school, married-civ-spouse, protective-serv, white, male, north-america, 34129
62 - 76, private, pre-high-school, married-civ-spouse, protective-serv, white, male, north-america, 76901
62 - 76, private, pre-high-school, married-civ-spouse, protective-serv, white, male, north-america, 43963
38 - 41, private, pre-high-school, married, other-service, *, male, *, 36169
38 - 41, private, pre-high-school, married, other-service, *, male, *, 23121
38 - 41, private, pre-high-school, married, other-service, *, male, *, 47631
38 - 41, private, pre-high-school, married, other-service, *, male, *, 69581
38 - 41, private, pre-high-school, married, other-service, *, male, *, 50840
38 - 41, private, pre-high-school, married, other-service, *, male, *, 66917
38 - 41, private, pre-high-school, married, other-service, *, male, *, 37773
38 - 41, private, pre-high-school, married, other-service, *, male, *, 87131
38 - 41, private, pre-high-school, married, other-service, *, male, *, 26407
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 45278
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 58452
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 52452
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 52485
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 79693
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 55451
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 50094
43 - 46, non-government, pre-high-school, married, other-service, *, male, *, 39686
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 10927
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 42414
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 13207
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 28578
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 73348
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 57168
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 47488
47 - 50, non-government, pre-high-school, married-civ-spouse, other-service, *, male, *, 72824
51 - 52, non-government, pre-high-school, married-civ-spouse, other-service, white, male, north-america, 19385
51 - 52, non-government, pre-high-school, married-civ-spouse, other-service, white, male, north-america, 60700
51 - 52, non-government, pre-high-school, married-civ-spouse, other-service, white, male, north-america, 39506
51 - 52, non-government, pre-high-school, married-civ-spouse, other-service, white, male, north-america, 73406
51 - 52, non-government, pre-high-school, married-civ-spouse, other-service, white, male, north-america, 51390
51 - 52, non-government, pre-high-school, married-civ-spouse, other-service, white, male, north-america, 68670
56 - 70, non-government, 7th-8th, married-civ-spouse, other-service, *, male, *, 44552
56 - 70, non-government, 7th-8th, married-civ-spouse, other-service, *, male, *, 26674
56 - 70, non-government, 7th-8th, married-civ-spouse, other-service, *, male, *, 36176
56 - 70, non-government, 7th-8th, married-civ-spouse, other-service, *, male, *, 30902
56 - 70, non-government, 7th-8th, married-civ-spouse, other-service, *, male, *, 18263
56 - 70, non-government, 7th-8th, married-civ-spouse, other-service, *, male, *, 25000
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 23655
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 25312
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 33768
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 58814
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 42431
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 61079
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 35360
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 30619
53 - 71, private, 9th, married-civ-spouse, other-service, *, male, north-america, 59667
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 71303
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 52274
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 42496
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 66330
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 50784
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 73073
53 - 72, private, 10th, married-civ-spouse, other-service, *, male, north-america, 46151
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 42669
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 30657
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 30535
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 71445
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 75283
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 32956
55 - 65, non-government, 11th, married-civ-spouse, other-service, *, male, united-states, 30027
38 - 40, non-government, pre-high-school, married, other-service, *, female, north-america, 39744
38 - 40, non-government, pre-high-school, married, other-service, *, female, north-america, 46488
38 - 40, non-government, pre-high-school, married, other-service, *, female, north-america, 52001
38 - 40, non-government, pre-high-school, married, other-service, *, female, north-america, 40152
38 - 40, non-government, pre-high-school, married, other-service, *, female, north-america, 36841
38 - 40, non-government, pre-high-school, married, other-service, *, female, north-america, 32934
41 - 42, non-government, pre-high-school, married, other-service, *, female, *, 28384
41 - 42, non-government, pre-high-school, married, other-service, *, female, *, 62659
41 - 42, non-government, pre-high-school, married, other-service, *, female, *, 39620
41 - 42, non-government, pre-high-school, married, other-service, *, female, *, 68595
41 - 42, non-government, pre-high-school, married, other-service, *, female, *, 48802
41 - 42, non-government, pre-high-school, married, other-service, *, female, *, 39788
43 - 45, private, pre-high-school, married, other-service, *, female, *, 22389
43 - 45, private, pre-high-school, married, other-service, *, female, *, 49341
43 - 45, private, pre-high-school, married, other-service, *, female, *, 49179
43 - 45, private, pre-high-school, married, other-service, *, female, *, 71607
43 - 45, private, pre-high-school, married, other-service, *, female, *, 36224
43 - 45, private, pre-high-school, married, other-service, *, female, *, 62004
43 - 45, private, pre-high-school, married, other-service, *, female, *, 49541
43 - 45, private, pre-high-school, married, other-service, *, female, *, 48500
43 - 45, private, pre-high-school, married, other-service, *, female, *, 62943
46 - 47, private, pre-high-school, married, other-service, *, female, *, 15581
46 - 47, private, pre-high-school, married, other-service, *, female, *, 12164
46 - 47, private, pre-high-school, married, other-service, *, female, *, 67237
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 66590
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 50587
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 50721
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 46777
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 71100
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 66689
48 - 56, private, pre-high-school, married, other-service, black, female, north-america, 32954
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 33364
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 68944
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 68613
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 79548
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 63616
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 53124
48 - 56, non-government, pre-high-school, married, other-service, white, female, *, 67169
58 - 59, private, pre-high-school, married, other-service, *, female, united-states, 48459
58 - 59, private, pre-high-school, married, other-service, *, female, united-states, 41300
58 - 59, private, pre-high-school, married, other-service, *, female, united-states, 49250
58 - 59, private, pre-high-school, married, other-service, *, female, united-states, 32760
58 - 59, private, pre-high-school, married, other-service, *, female, united-states, 30127
61 - 66, private, pre-high-school, married, other-service, *, female, united-states, 44465
61 - 66, private, pre-high-school, married, other-service, *, female, united-states, 48631
61 - 66, private, pre-high-school, married, other-service, *, female, united-states, 53389
61 - 66, private, pre-high-school, married, other-service, *, female, united-states, 75017
61 - 66, private, pre-high-school, married, other-service, *, female, united-states, 46406
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 31427
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 61192
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 62316
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 41524
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 16936
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 27758
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 64125
40 - 68, private, pre-high-school, not-married, *, amer-indian-eskimo, *, *, 45583
38 - 59, private, pre-high-school, not-married, *, asian-pac-islander, *, *, 24528
38 - 59, private, pre-high-school, not-married, *, asian-pac-islander, *, *, 67152
38 - 59, private, pre-high-school, not-married, *, asian-pac-islander, *, *, 46490
38 - 59, private, pre-high-school, not-married, *, asian-pac-islander, *, *, 81649
38 - 59, private, pre-high-school, not-married, *, asian-pac-islander, *, *, 55136
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 49641
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 40042
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 62641
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 37099
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 41648
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 45705
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 33677
38 - 42, private, pre-high-school, not-married, manual-labour, black, male, *, 59495
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 42811
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 65976
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 66505
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 52947
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 57926
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 51306
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 79337
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 38081
43 - 46, non-government, pre-high-school, not-married, *, black, male, united-states, 53648
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 36820
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 56055
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 17020
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 49215
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 48105
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 38294
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 47753
47 - 55, non-government, pre-high-school, not-married, *, black, male, north-america, 76248
57 - 68, private, pre-high-school, not-married, *, black, male, *, 43122
57 - 68, private, pre-high-school, not-married, *, black, male, *, 36959
57 - 68, private, pre-high-school, not-married, *, black, male, *, 52512
57 - 68, private, pre-high-school, not-married, *, black, male, *, 29545
57 - 68, private, pre-high-school, not-married, *, black, male, *, 19262
57 - 68, private, pre-high-school, not-married, *, black, male, *, 44050
57 - 68, private, pre-high-school, not-married, *, black, male, *, 72874
57 - 68, private, pre-high-school, not-married, *, black, male, *, 47811
57 - 68, private, pre-high-school, not-married, *, black, male, *, 65736
38 - 41, private, pre-high-school, not-married, manual-labour, black, female, north-america, 65081
38 - 41, private, pre-high-school, not-married, manual-labour, black, female, north-america, 69833
38 - 41, private, pre-high-school, not-married, manual-labour, black, female, north-america, 54784
38 - 41, private, pre-high-school, not-married, manual-labour, black, female, north-america, 59578
38 - 41, private, pre-high-school, not-married, manual-labour, black, female, north-america, 88110
38 - 41, private, pre-high-school, not-married, manual-labour, black, female, north-america, 63298
43 - 45, private, pre-high-school, not-married, manual-labour, black, female, north-america, 75438
43 - 45, private, pre-high-school, not-married, manual-labour, black, female, north-america, 19751
43 - 45, private, pre-high-school, not-married, manual-labour, black, female, north-america, 28221
43 - 45, private, pre-high-school, not-married, manual-labour, black, female, north-america, 62936
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 31640
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 73050
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 38588
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 73231
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 34281
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 52091
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 46873
46 - 52, private, pre-high-school, not-married, manual-labour, black, female, united-states, 43348
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 52238
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 51725
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 15456
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 43990
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 60351
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 20841
53 - 69, private, pre-high-school, not-married, skilled, black, female, united-states, 18390
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 34514
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 24275
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 33668
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 61834
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 54013
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 44997
54 - 81, private, pre-high-school, not-married, unskilled, black, female, united-states, 60491
47 - 76, private, pre-high-school, not-married, customer-service, black, female, united-states, 50679
47 - 76, private, pre-high-school, not-married, customer-service, black, female, united-states, 66122
47 - 76, private, pre-high-school, not-married, customer-service, black, female, united-states, 88834
47 - 76, private, pre-high-school, not-married, customer-service, black, female, united-states, 32718
47 - 76, private, pre-high-school, not-married, customer-service, black, female, united-states, 24940
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 55480
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 49715
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 49961
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 58135
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 70569
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 53093
38 - 45, private, pre-high-school, not-married, other-service, black, female, north-america, 52641
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 43252
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 49896
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 53280
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 60343
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 53162
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 37050
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 58953
47 - 52, private, pre-high-school, not-married, other-service, black, female, united-states, 52296
54 - 72, non-government, pre-high-school, divorced, other-service, black, female, united-states, 62105
54 - 72, non-government, pre-high-school, divorced, other-service, black, female, united-states, 44422
54 - 72, non-government, pre-high-school, divorced, other-service, black, female, united-states, 52693
54 - 72, non-government, pre-high-school, divorced, other-service, black, female, united-states, 38389
54 - 72, non-government, pre-high-school, divorced, other-service, black, female, united-states, 69179
54 - 72, non-government, pre-high-school, divorced, other-service, black, female, united-states, 40563
56 - 62, private, pre-high-school, widowed, other-service, black, female, united-states, 20805
56 - 62, private, pre-high-school, widowed, other-service, black, female, united-states, 27237
56 - 62, private, pre-high-school, widowed, other-service, black, female, united-states, 32069
56 - 62, private, pre-high-school, widowed, other-service, black, female, united-states, 25462
56 - 62, private, pre-high-school, widowed, other-service, black, female, united-states, 84774
66 - 74, private, pre-high-school, widowed, other-service, black, female, united-states, 62611
66 - 74, private, pre-high-school, widowed, other-service, black, female, united-states, 68434
66 - 74, private, pre-high-school, widowed, other-service, black, female, united-states, 39834
66 - 74, private, pre-high-school, widowed, other-service, black, female, united-states, 34406
66 - 74, private, pre-high-school, widowed, other-service, black, female, united-states, 27001
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 33209
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 34083
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 39662
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 13803
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 48902
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 33679
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 43451
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 46839
39 - 45, non-government, 7th-8th, not-married, *, white, male, north-america, 40233
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 37636
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 16170
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 21251
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 43165
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 21490
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 32630
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 34770
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 12022
46 - 51, non-government, 7th-8th, not-married, *, white, male, united-states, 45725
38 - 44, non-government, 9th, not-married, manual-labour, white, male, united-states, 55537
38 - 44, non-government, 9th, not-married, manual-labour, white, male, united-states, 44048
38 - 44, non-government, 9th, not-married, manual-labour, white, male, united-states, 59896
38 - 44, non-government, 9th, not-married, manual-labour, white, male, united-states, 68828
38 - 44, non-government, 9th, not-married, manual-labour, white, male, united-states, 30168
38 - 44, non-government, 9th, not-married, manual-labour, white, male, united-states, 63332
46 - 50, non-government, 9th, not-married, *, white, male, central-north-america, 68966
46 - 50, non-government, 9th, not-married, *, white, male, central-north-america, 22309
46 - 50, non-government, 9th, not-married, *, white, male, central-north-america, 59134
46 - 50, non-government, 9th, not-married, *, white, male, central-north-america, 46857
38 - 41, private, 10th, not-married, *, white, male, united-states, 69450
38 - 41, private, 10th, not-married, *, white, male, united-states, 63380
38 - 41, private, 10th, not-married, *, white, male, united-states, 65518
38 - 41, private, 10th, not-married, *, white, male, united-states, 49120
38 - 41, private, 10th, not-married, *, white, male, united-states, 73106
38 - 41, private, 10th, not-married, *, white, male, united-states, 59997
38 - 41, private, 10th, not-married, *, white, male, united-states, 40659
38 - 41, private, 10th, not-married, *, white, male, united-states, 74345
42 - 51, private, 10th, not-married, *, white, male, united-states, 51492
42 - 51, private, 10th, not-married, *, white, male, united-states, 55260
42 - 51, private, 10th, not-married, *, white, male, united-states, 67373
42 - 51, private, 10th, not-married, *, white, male, united-states, 58266
42 - 51, private, 10th, not-married, *, white, male, united-states, 73099
42 - 51, private, 10th, not-married, *, white, male, united-states, 40901
42 - 50, self-emp-not-inc, 10th, not-married, manual-labour, white, male, united-states, 70070
42 - 50, self-emp-not-inc, 10th, not-married, manual-labour, white, male, united-states, 38353
42 - 50, self-emp-not-inc, 10th, not-married, manual-labour, white, male, united-states, 50379
42 - 50, self-emp-not-inc, 10th, not-married, manual-labour, white, male, united-states, 37447
42 - 50, self-emp-not-inc, 10th, not-married, manual-labour, white, male, united-states, 35121
42 - 50, self-emp-not-inc, 10th, not-married, manual-labour, white, male, united-states, 73869
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 33721
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 60126
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 57108
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 52280
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 70283
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 72260
38 - 41, non-government, 11th, divorced, *, white, male, united-states, 79593
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 40073
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 49125
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 60862
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 63963
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 34209
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 78141
42 - 51, non-government, 11th, divorced, *, white, male, north-america, 41590
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 57754
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 31515
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 54178
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 68834
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 38571
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 79745
40 - 50, non-government, 11th, never-married, *, white, male, north-america, 37017
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 42797
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 75982
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 86694
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 86883
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 69623
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 69443
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 89195
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 53139
39 - 51, non-government, 12th, not-married, *, white, male, north-america, 60374
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 56777
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 28329
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 41885
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 52136
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 40095
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 85053
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 35628
53 - 54, non-government, pre-high-school, divorced, *, white, male, north-america, 41911
56, non-government, pre-high-school, divorced, *, white, male, north-america, 35722
56, non-government, pre-high-school, divorced, *, white, male, north-america, 33679
56, non-government, pre-high-school, divorced, *, white, male, north-america, 49295
56, non-government, pre-high-school, divorced, *, white, male, north-america, 57765
56, non-government, pre-high-school, divorced, *, white, male, north-america, 46203
56, non-government, pre-high-school, divorced, *, white, male, north-america, 36015
56, non-government, pre-high-school, divorced, *, white, male, north-america, 46391
56, non-government, pre-high-school, divorced, *, white, male, north-america, 33505
57 - 59, non-government, pre-high-school, divorced, *, white, male, united-states, 39315
57 - 59, non-government, pre-high-school, divorced, *, white, male, united-states, 55780
57 - 59, non-government, pre-high-school, divorced, *, white, male, united-states, 28675
57 - 59, non-government, pre-high-school, divorced, *, white, male, united-states, 43099
57 - 59, non-government, pre-high-school, divorced, *, white, male, united-states, 39821
52 - 59, non-government, pre-high-school, widowed, *, white, male, united-states, 70617
52 - 59, non-government, pre-high-school, widowed, *, white, male, united-states, 73714
52 - 59, non-government, pre-high-school, widowed, *, white, male, united-states, 46309
52 - 59, non-government, pre-high-school, widowed, *, white, male, united-states, 45548
52 - 59, non-government, pre-high-school, widowed, *, white, male, united-states, 73206
52 - 56, private, pre-high-school, never-married, *, white, male, united-states, 48871
52 - 56, private, pre-high-school, never-married, *, white, male, united-states, 40244
52 - 56, private, pre-high-school, never-married, *, white, male, united-states, 60720
52 - 56, private, pre-high-school, never-married, *, white, male, united-states, 68449
52 - 56, private, pre-high-school, never-married, *, white, male, united-states, 70147
52 - 56, private, pre-high-school, never-married, *, white, male, united-states, 43678
58 - 59, non-government, pre-high-school, never-married, *, white, male, *, 39557
58 - 59, non-government, pre-high-school, never-married, *, white, male, *, 53156
58 - 59, non-government, pre-high-school, never-married, *, white, male, *, 41895
58 - 59, non-government, pre-high-school, never-married, *, white, male, *, 65844
58 - 59, non-government, pre-high-school, never-married, *, white, male, *, 41202
58 - 59, non-government, pre-high-school, never-married, *, white, male, *, 36927
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 62246
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 33931
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 13427
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 27278
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 22247
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 52410
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 60335
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 31206
60 - 61, private, pre-high-school, divorced, *, white, male, north-america, 62621
62 - 70, non-government, pre-high-school, divorced, *, white, male, united-states, 14277
62 - 70, non-government, pre-high-school, divorced, *, white, male, united-states, 35834
62 - 70, non-government, pre-high-school, divorced, *, white, male, united-states, 36506
62 - 70, non-government, pre-high-school, divorced, *, white, male, united-states, 60693
62 - 70, non-government, pre-high-school, divorced, *, white, male, united-states, 57481
62 - 70, non-government, pre-high-school, divorced, *, white, male, united-states, 49898
61 - 71, non-government, pre-high-school, widowed, *, white, male, united-states, 70248
61 - 71, non-government, pre-high-school, widowed, *, white, male, united-states, 20320
61 - 71, non-government, pre-high-school, widowed, *, white, male, united-states, 48393
61 - 71, non-government, pre-high-school, widowed, *, white, male, united-states, 25888
61 - 71, non-government, pre-high-school, widowed, *, white, male, united-states, 36387
61 - 71, non-government, pre-high-school, widowed, *, white, male, united-states, 35439
74 - 80, non-government, pre-high-school, widowed, *, white, male, *, 20593
74 - 80, non-government, pre-high-school, widowed, *, white, male, *, 34363
74 - 80, non-government, pre-high-school, widowed, *, white, male, *, 32891
74 - 80, non-government, pre-high-school, widowed, *, white, male, *, 49683
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 42002
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 26377
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 79787
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 16133
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 49683
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 41859
60 - 69, non-government, pre-high-school, never-married, *, white, male, united-states, 31916
75 - 90, non-government, pre-high-school, never-married, *, white, male, north-america, 74372
75 - 90, non-government, pre-high-school, never-married, *, white, male, north-america, 14568
75 - 90, non-government, pre-high-school, never-married, *, white, male, north-america, 20202
75 - 90, non-government, pre-high-school, never-married, *, white, male, north-america, 67956
38 - 43, private, pre-high-school, not-married, machine-op-inspct, white, female, north-america, 45937
38 - 43, private, pre-high-school, not-married, machine-op-inspct, white, female, north-america, 21184
38 - 43, private, pre-high-school, not-married, machine-op-inspct, white, female, north-america, 55181
38 - 43, private, pre-high-school, not-married, machine-op-inspct, white, female, north-america, 36532
38 - 43, private, pre-high-school, not-married, machine-op-inspct, white, female, north-america, 65104
44 - 49, private, pre-high-school, not-married, skilled, white, female, united-states, 41606
44 - 49, private, pre-high-school, not-married, skilled, white, female, united-states, 31782
44 - 49, private, pre-high-school, not-married, skilled, white, female, united-states, 48987
