17 - 27, *, pre-primary, *, *, *, *, *, 9010
31 - 32, *, pre-doctorate, married, *, *, male, *, 50563
31 - 32, *, pre-doctorate, married, *, *, male, *, 97820
31 - 32, *, pre-doctorate, married, *, *, male, *, 110882
31 - 32, *, pre-doctorate, married, *, *, male, *, 90518
31 - 32, *, pre-doctorate, married, *, *, male, *, 41009
31 - 32, *, pre-doctorate, married, *, *, male, *, 71328
31 - 32, *, pre-doctorate, married, *, *, male, *, 109096
31 - 32, *, pre-doctorate, married, *, *, male, *, 72239
31 - 32, *, pre-doctorate, married, *, *, male, *, 64324
31 - 32, *, pre-doctorate, married, *, *, male, *, 51841
31 - 32, *, pre-doctorate, married, *, *, male, *, 74996
31 - 32, *, pre-doctorate, married, *, *, male, *, 64390
31 - 32, *, pre-doctorate, married, *, *, male, *, 61238
31 - 32, *, pre-doctorate, married, *, *, male, *, 65393
31 - 32, *, pre-doctorate, married, *, *, male, *, 96125
31 - 32, *, pre-doctorate, married, *, *, male, *, 74087
33, *, pre-doctorate, married, *, *, male, *, 91838
33, *, pre-doctorate, married, *, *, male, *, 40057
33, *, pre-doctorate, married, *, *, male, *, 57828
33, *, pre-doctorate, married, *, *, male, *, 81358
33, *, pre-doctorate, married, *, *, male, *, 87366
33, *, pre-doctorate, married, *, *, male, *, 46079
33, *, pre-doctorate, married, *, *, male, *, 61728
33, *, pre-doctorate, married, *, *, male, *, 91244
33, *, pre-doctorate, married, *, *, male, *, 47146
33, *, pre-doctorate, married, *, *, male, *, 55733
33, *, pre-doctorate, married, *, *, male, *, 114086
33, *, pre-doctorate, married, *, *, male, *, 112456
33, *, pre-doctorate, married, *, *, male, *, 107664
33, *, pre-doctorate, married, *, *, male, *, 91258
33, *, pre-doctorate, married, *, *, male, *, 111720
33, *, pre-doctorate, married, *, *, male, *, 53073
33, *, pre-doctorate, married, *, *, male, *, 78529
33, *, pre-doctorate, married, *, *, male, *, 55566
33, *, pre-doctorate, married, *, *, male, *, 92668
33, *, pre-doctorate, married, *, *, male, *, 55535
33, *, pre-doctorate, married, *, *, male, *, 99287
33, *, pre-doctorate, married, *, *, male, *, 100085
33, *, pre-doctorate, married, *, *, male, *, 107751
33, *, pre-doctorate, married, *, *, male, *, 45119
33, *, pre-doctorate, married, *, *, male, *, 70825
33, *, pre-doctorate, married, *, *, male, *, 67947
33, *, pre-doctorate, married, *, *, male, *, 97283
33, *, pre-doctorate, married, *, *, male, *, 118818
33, *, pre-doctorate, married, *, *, male, *, 47038
33, *, pre-doctorate, married, *, *, male, *, 54234
33, *, pre-doctorate, married, *, *, male, *, 69173
33, *, pre-doctorate, married, *, *, male, *, 91976
33, *, pre-doctorate, married, *, *, male, *, 76611
33, *, pre-doctorate, married, *, *, male, *, 46223
33, *, pre-doctorate, married, *, *, male, *, 76337
33, *, pre-doctorate, married, *, *, male, *, 97634
33, *, pre-doctorate, married, *, *, male, *, 78776
33, *, pre-doctorate, married, *, *, male, *, 67960
33, *, pre-doctorate, married, *, *, male, *, 104746
33, *, pre-doctorate, married, *, *, male, *, 77713
33, *, pre-doctorate, married, *, *, male, *, 86225
33, *, pre-doctorate, married, *, *, male, *, 42875
33, *, pre-doctorate, married, *, *, male, *, 61971
33, *, pre-doctorate, married, *, *, male, *, 71804
33, *, pre-doctorate, married, *, *, male, *, 67550
33, *, pre-doctorate, married, *, *, male, *, 63746
33, *, pre-doctorate, married, *, *, male, *, 53525
33, *, pre-doctorate, married, *, *, male, *, 80389
33, *, pre-doctorate, married, *, *, male, *, 79808
33, *, pre-doctorate, married, *, *, male, *, 85901
33, *, pre-doctorate, married, *, *, male, *, 83624
33, *, pre-doctorate, married, *, *, male, *, 69624
33, *, pre-doctorate, married, *, *, male, *, 96089
33, *, pre-doctorate, married, *, *, male, *, 100540
33, *, pre-doctorate, married, *, *, male, *, 57419
33, *, pre-doctorate, married, *, *, male, *, 104571
33, *, pre-doctorate, married, *, *, male, *, 72378
33, *, pre-doctorate, married, *, *, male, *, 55954
33, *, pre-doctorate, married, *, *, male, *, 72072
33, *, pre-doctorate, married, *, *, male, *, 95665
33, *, pre-doctorate, married, *, *, male, *, 108831
33, *, pre-doctorate, married, *, *, male, *, 92080
33, *, pre-doctorate, married, *, *, male, *, 101128
33, *, pre-doctorate, married, *, *, male, *, 139043
33, *, pre-doctorate, married, *, *, male, *, 106221
33, *, pre-doctorate, married, *, *, male, *, 107530
33, *, pre-doctorate, married, *, *, male, *, 114440
33, *, pre-doctorate, married, *, *, male, *, 53259
33, *, pre-doctorate, married, *, *, male, *, 54938
33, *, pre-doctorate, married, *, *, male, *, 92148
33, *, pre-doctorate, married, *, *, male, *, 44109
33, *, pre-doctorate, married, *, *, male, *, 83363
33, *, pre-doctorate, married, *, *, male, *, 132217
33, *, pre-doctorate, married, *, *, male, *, 67834
33, *, pre-doctorate, married, *, *, male, *, 108913
33, *, pre-doctorate, married, *, *, male, *, 108241
33, *, pre-doctorate, married, *, *, male, *, 76506
33, *, pre-doctorate, married, *, *, male, *, 70371
33, *, pre-doctorate, married, *, *, male, *, 101709
33, *, pre-doctorate, married, *, *, male, *, 53348
33, *, pre-doctorate, married, *, *, male, *, 95660
33, *, pre-doctorate, married, *, *, male, *, 102672
33, *, pre-doctorate, married, *, *, male, *, 129876
33, *, pre-doctorate, married, *, *, male, *, 69019
33, *, pre-doctorate, married, *, *, male, *, 60320
33, *, pre-doctorate, married, *, *, male, *, 114919
33, *, pre-doctorate, married, *, *, male, *, 51844
33, *, pre-doctorate, married, *, *, male, *, 113968
33, *, pre-doctorate, married, *, *, male, *, 94524
33, *, pre-doctorate, married, *, *, male, *, 93554
33, *, pre-doctorate, married, *, *, male, *, 112731
33, *, pre-doctorate, married, *, *, male, *, 49502
33, *, pre-doctorate, married, *, *, male, *, 80405
33, *, pre-doctorate, married, *, *, male, *, 53473
33, *, pre-doctorate, married, *, *, male, *, 62699
33, *, pre-doctorate, married, *, *, male, *, 95501
33, *, pre-doctorate, married, *, *, male, *, 53186
33, *, pre-doctorate, married, *, *, male, *, 56018
33, *, pre-doctorate, married, *, *, male, *, 40566
33, *, pre-doctorate, married, *, *, male, *, 70823
33, *, pre-doctorate, married, *, *, male, *, 99118
33, *, pre-doctorate, married, *, *, male, *, 72318
33, *, pre-doctorate, married, *, *, male, *, 103092
33, *, pre-doctorate, married, *, *, male, *, 64080
34 - 35, *, bachelors, married, *, *, male, *, 70327
34 - 35, *, bachelors, married, *, *, male, *, 59879
34 - 35, *, bachelors, married, *, *, male, *, 111952
34 - 35, *, bachelors, married, *, *, male, *, 67422
34 - 35, *, bachelors, married, *, *, male, *, 46832
34 - 35, *, bachelors, married, *, *, male, *, 98279
34 - 35, *, bachelors, married, *, *, male, *, 67618
34 - 35, *, bachelors, married, *, *, male, *, 107743
34 - 35, *, bachelors, married, *, *, male, *, 73198
34 - 35, *, bachelors, married, *, *, male, *, 110802
34 - 35, *, bachelors, married, *, *, male, *, 42973
34 - 35, *, bachelors, married, *, *, male, *, 108031
34 - 35, *, bachelors, married, *, *, male, *, 92954
34 - 35, *, bachelors, married, *, *, male, *, 61818
34 - 35, *, bachelors, married, *, *, male, *, 93779
34 - 35, *, bachelors, married, *, *, male, *, 44866
34 - 35, *, bachelors, married, *, *, male, *, 53758
34 - 35, *, bachelors, married, *, *, male, *, 101330
34 - 35, *, bachelors, married, *, *, male, *, 80196
34 - 35, *, bachelors, married, *, *, male, *, 101015
34 - 35, *, bachelors, married, *, *, male, *, 78181
34 - 35, *, bachelors, married, *, *, male, *, 68419
34 - 35, *, bachelors, married, *, *, male, *, 63577
34 - 35, *, bachelors, married, *, *, male, *, 82023
34 - 35, *, bachelors, married, *, *, male, *, 44456
34 - 35, *, bachelors, married, *, *, male, *, 55442
34 - 35, *, bachelors, married, *, *, male, *, 104052
34 - 35, *, bachelors, married, *, *, male, *, 110415
34 - 35, *, bachelors, married, *, *, male, *, 71249
34 - 35, *, bachelors, married, *, *, male, *, 51129
34 - 35, *, bachelors, married, *, *, male, *, 75788
34 - 35, *, bachelors, married, *, *, male, *, 103300
34 - 35, *, bachelors, married, *, *, male, *, 50073
34 - 35, *, bachelors, married, *, *, male, *, 47384
34 - 35, *, bachelors, married, *, *, male, *, 51658
34 - 35, *, bachelors, married, *, *, male, *, 106611
34 - 35, *, bachelors, married, *, *, male, *, 72483
34 - 35, *, bachelors, married, *, *, male, *, 69574
34 - 35, *, bachelors, married, *, *, male, *, 115705
34 - 35, *, bachelors, married, *, *, male, *, 52243
34 - 35, *, bachelors, married, *, *, male, *, 71027
34 - 35, *, bachelors, married, *, *, male, *, 56256
34 - 35, *, bachelors, married, *, *, male, *, 111663
34 - 35, *, bachelors, married, *, *, male, *, 52546
34 - 35, *, bachelors, married, *, *, male, *, 40621
34 - 35, *, bachelors, married, *, *, male, *, 48752
34 - 35, *, bachelors, married, *, *, male, *, 94244
34 - 35, *, bachelors, married, *, *, male, *, 62892
34 - 35, *, bachelors, married, *, *, male, *, 61236
34 - 35, *, bachelors, married, *, *, male, *, 110860
34 - 35, *, bachelors, married, *, *, male, *, 85068
34 - 35, *, bachelors, married, *, *, male, *, 68661
34 - 35, *, bachelors, married, *, *, male, *, 110337
34 - 35, *, bachelors, married, *, *, male, *, 82771
34 - 35, *, bachelors, married, *, *, male, *, 67962
34 - 35, *, bachelors, married, *, *, male, *, 49520
34 - 35, *, bachelors, married, *, *, male, *, 91157
34 - 35, *, bachelors, married, *, *, male, *, 95447
34 - 35, *, bachelors, married, *, *, male, *, 111716
34 - 35, *, bachelors, married, *, *, male, *, 46821
34 - 35, *, bachelors, married, *, *, male, *, 47711
34 - 35, *, bachelors, married, *, *, male, *, 62529
34 - 35, *, bachelors, married, *, *, male, *, 116601
34 - 35, *, bachelors, married, *, *, male, *, 81288
34 - 35, *, bachelors, married, *, *, male, *, 73781
34 - 35, *, bachelors, married, *, *, male, *, 52267
34 - 35, *, bachelors, married, *, *, male, *, 108136
34 - 35, *, bachelors, married, *, *, male, *, 68891
34 - 35, *, bachelors, married, *, *, male, *, 57048
34 - 35, *, bachelors, married, *, *, male, *, 62585
34 - 35, *, bachelors, married, *, *, male, *, 79998
34 - 35, *, bachelors, married, *, *, male, *, 110236
34 - 35, *, bachelors, married, *, *, male, *, 115217
34 - 35, *, bachelors, married, *, *, male, *, 101360
34 - 35, *, bachelors, married, *, *, male, *, 100702
34 - 35, *, bachelors, married, *, *, male, *, 63923
34 - 35, *, bachelors, married, *, *, male, *, 42284
34 - 35, *, bachelors, married, *, *, male, *, 50638
34 - 35, *, bachelors, married, *, *, male, *, 117364
34 - 35, *, bachelors, married, *, *, male, *, 47759
34 - 35, *, bachelors, married, *, *, male, *, 118603
34 - 35, *, bachelors, married, *, *, male, *, 79719
34 - 35, *, bachelors, married, *, *, male, *, 104453
34 - 35, *, bachelors, married, *, *, male, *, 59523
34 - 35, *, bachelors, married, *, *, male, *, 82433
34 - 35, *, bachelors, married, *, *, male, *, 90552
34 - 35, *, bachelors, married, *, *, male, *, 98281
34 - 35, *, bachelors, married, *, *, male, *, 60608
34 - 35, *, bachelors, married, *, *, male, *, 99268
34 - 35, *, bachelors, married, *, *, male, *, 64411
34 - 35, *, bachelors, married, *, *, male, *, 117822
34 - 35, *, bachelors, married, *, *, male, *, 71876
34 - 35, *, bachelors, married, *, *, male, *, 95234
34 - 35, *, bachelors, married, *, *, male, *, 111587
34 - 35, *, bachelors, married, *, *, male, *, 113632
34 - 35, *, bachelors, married, *, *, male, *, 117658
34 - 35, *, bachelors, married, *, *, male, *, 100026
34 - 35, *, bachelors, married, *, *, male, *, 77650
34 - 35, *, bachelors, married, *, *, male, *, 91548
34 - 35, *, bachelors, married, *, *, male, *, 109709
34 - 35, *, bachelors, married, *, *, male, *, 76042
34 - 35, *, bachelors, married, *, *, male, *, 50857
34 - 35, *, bachelors, married, *, *, male, *, 80832
34 - 35, *, bachelors, married, *, *, male, *, 53078
34 - 35, *, bachelors, married, *, *, male, *, 102541
34 - 35, *, bachelors, married, *, *, male, *, 97752
34 - 35, *, bachelors, married, *, *, male, *, 112745
34 - 35, *, bachelors, married, *, *, male, *, 117328
34 - 35, *, bachelors, married, *, *, male, *, 73827
34 - 35, *, bachelors, married, *, *, male, *, 75686
34 - 35, *, bachelors, married, *, *, male, *, 54469
34 - 35, *, bachelors, married, *, *, male, *, 81222
34 - 35, *, bachelors, married, *, *, male, *, 53458
34 - 35, *, bachelors, married, *, *, male, *, 87123
34 - 35, *, bachelors, married, *, *, male, *, 97708
34 - 35, *, bachelors, married, *, *, male, *, 104670
34 - 35, *, bachelors, married, *, *, male, *, 98536
34 - 35, *, bachelors, married, *, *, male, *, 108519
34 - 35, *, bachelors, married, *, *, male, *, 50999
34 - 35, *, bachelors, married, *, *, male, *, 49070
34 - 35, *, bachelors, married, *, *, male, *, 52759
34 - 35, *, bachelors, married, *, *, male, *, 69295
34 - 35, *, bachelors, married, *, *, male, *, 47692
34 - 35, *, bachelors, married, *, *, male, *, 100487
34 - 35, *, bachelors, married, *, *, male, *, 75373
34 - 35, *, bachelors, married, *, *, male, *, 83925
34 - 35, *, bachelors, married, *, *, male, *, 114066
34 - 35, *, bachelors, married, *, *, male, *, 83281
34 - 35, *, bachelors, married, *, *, male, *, 41324
34 - 35, *, bachelors, married, *, *, male, *, 54138
34 - 35, *, bachelors, married, *, *, male, *, 91020
34 - 35, *, bachelors, married, *, *, male, *, 104603
34 - 35, *, bachelors, married, *, *, male, *, 119944
34 - 35, *, bachelors, married, *, *, male, *, 65030
34 - 35, *, bachelors, married, *, *, male, *, 68607
34 - 35, *, bachelors, married, *, *, male, *, 113735
34 - 35, *, bachelors, married, *, *, male, *, 66650
34 - 35, *, bachelors, married, *, *, male, *, 47337
34 - 35, *, bachelors, married, *, *, male, *, 47874
34 - 35, *, bachelors, married, *, *, male, *, 62844
34 - 35, *, bachelors, married, *, *, male, *, 114310
34 - 35, *, bachelors, married, *, *, male, *, 73180
34 - 35, *, bachelors, married, *, *, male, *, 90633
34 - 35, *, bachelors, married, *, *, male, *, 107396
34 - 35, *, bachelors, married, *, *, male, *, 47736
34 - 35, *, bachelors, married, *, *, male, *, 82963
34 - 35, *, bachelors, married, *, *, male, *, 48776
34 - 35, *, bachelors, married, *, *, male, *, 102865
34 - 35, *, bachelors, married, *, *, male, *, 111937
34 - 35, *, bachelors, married, *, *, male, *, 119750
34 - 35, *, bachelors, married, *, *, male, *, 114392
34 - 35, *, bachelors, married, *, *, male, *, 104591
34 - 35, *, bachelors, married, *, *, male, *, 43530
34 - 35, *, bachelors, married, *, *, male, *, 74620
34 - 35, *, bachelors, married, *, *, male, *, 47007
34 - 35, *, bachelors, married, *, *, male, *, 85259
34 - 35, *, bachelors, married, *, *, male, *, 89326
34 - 35, *, bachelors, married, *, *, male, *, 55924
34 - 35, *, bachelors, married, *, *, male, *, 65918
34 - 35, *, bachelors, married, *, *, male, *, 112634
34 - 35, *, bachelors, married, *, *, male, *, 85182
34 - 35, *, bachelors, married, *, *, male, *, 48871
34 - 35, *, bachelors, married, *, *, male, *, 91420
34 - 35, *, bachelors, married, *, *, male, *, 79227
34 - 35, *, bachelors, married, *, *, male, *, 118484
34 - 35, *, bachelors, married, *, *, male, *, 48322
34 - 35, *, bachelors, married, *, *, male, *, 47771
34 - 35, *, bachelors, married, *, *, male, *, 63850
34 - 35, *, bachelors, married, *, *, male, *, 112406
34 - 35, *, bachelors, married, *, *, male, *, 51202
34 - 35, *, bachelors, married, *, *, male, *, 90311
34 - 35, *, bachelors, married, *, *, male, *, 78149
36 - 37, *, bachelors, married, *, *, male, *, 85782
36 - 37, *, bachelors, married, *, *, male, *, 86225
36 - 37, *, bachelors, married, *, *, male, *, 72293
36 - 37, *, bachelors, married, *, *, male, *, 89036
36 - 37, *, bachelors, married, *, *, male, *, 92223
36 - 37, *, bachelors, married, *, *, male, *, 105973
36 - 37, *, bachelors, married, *, *, male, *, 41229
36 - 37, *, bachelors, married, *, *, male, *, 69707
36 - 37, *, bachelors, married, *, *, male, *, 91065
36 - 37, *, bachelors, married, *, *, male, *, 74055
36 - 37, *, bachelors, married, *, *, male, *, 50445
36 - 37, *, bachelors, married, *, *, male, *, 51052
36 - 37, *, bachelors, married, *, *, male, *, 40881
36 - 37, *, bachelors, married, *, *, male, *, 85554
36 - 37, *, bachelors, married, *, *, male, *, 109539
36 - 37, *, bachelors, married, *, *, male, *, 94344
36 - 37, *, bachelors, married, *, *, male, *, 77004
36 - 37, *, bachelors, married, *, *, male, *, 53931
36 - 37, *, bachelors, married, *, *, male, *, 42941
36 - 37, *, bachelors, married, *, *, male, *, 103851
36 - 37, *, bachelors, married, *, *, male, *, 96155
36 - 37, *, bachelors, married, *, *, male, *, 57034
36 - 37, *, bachelors, married, *, *, male, *, 43690
36 - 37, *, bachelors, married, *, *, male, *, 93861
36 - 37, *, bachelors, married, *, *, male, *, 75089
36 - 37, *, bachelors, married, *, *, male, *, 105072
36 - 37, *, bachelors, married, *, *, male, *, 54375
36 - 37, *, bachelors, married, *, *, male, *, 49383
36 - 37, *, bachelors, married, *, *, male, *, 56914
36 - 37, *, bachelors, married, *, *, male, *, 52618
36 - 37, *, bachelors, married, *, *, male, *, 105140
36 - 37, *, bachelors, married, *, *, male, *, 84363
36 - 37, *, bachelors, married, *, *, male, *, 100418
36 - 37, *, bachelors, married, *, *, male, *, 101618
36 - 37, *, bachelors, married, *, *, male, *, 55936
36 - 37, *, bachelors, married, *, *, male, *, 46703
36 - 37, *, bachelors, married, *, *, male, *, 114913
36 - 37, *, bachelors, married, *, *, male, *, 49358
36 - 37, *, bachelors, married, *, *, male, *, 106525
36 - 37, *, bachelors, married, *, *, male, *, 77283
36 - 37, *, bachelors, married, *, *, male, *, 46098
36 - 37, *, bachelors, married, *, *, male, *, 57299
36 - 37, *, bachelors, married, *, *, male, *, 72154
36 - 37, *, bachelors, married, *, *, male, *, 83471
36 - 37, *, bachelors, married, *, *, male, *, 88525
36 - 37, *, bachelors, married, *, *, male, *, 59749
36 - 37, *, bachelors, married, *, *, male, *, 111456
36 - 37, *, bachelors, married, *, *, male, *, 111626
36 - 37, *, bachelors, married, *, *, male, *, 97026
36 - 37, *, bachelors, married, *, *, male, *, 56151
36 - 37, *, bachelors, married, *, *, male, *, 49437
36 - 37, *, bachelors, married, *, *, male, *, 61165
36 - 37, *, bachelors, married, *, *, male, *, 119299
36 - 37, *, bachelors, married, *, *, male, *, 69730
36 - 37, *, bachelors, married, *, *, male, *, 99010
36 - 37, *, bachelors, married, *, *, male, *, 109014
36 - 37, *, bachelors, married, *, *, male, *, 69692
36 - 37, *, bachelors, married, *, *, male, *, 119603
36 - 37, *, bachelors, married, *, *, male, *, 51263
36 - 37, *, bachelors, married, *, *, male, *, 77133
36 - 37, *, bachelors, married, *, *, male, *, 40445
36 - 37, *, bachelors, married, *, *, male, *, 42940
36 - 37, *, bachelors, married, *, *, male, *, 115976
36 - 37, *, bachelors, married, *, *, male, *, 66971
36 - 37, *, bachelors, married, *, *, male, *, 59652
36 - 37, *, bachelors, married, *, *, male, *, 52685
36 - 37, *, bachelors, married, *, *, male, *, 52602
36 - 37, *, bachelors, married, *, *, male, *, 65087
36 - 37, *, bachelors, married, *, *, male, *, 104933
36 - 37, *, bachelors, married, *, *, male, *, 66939
36 - 37, *, bachelors, married, *, *, male, *, 109658
36 - 37, *, bachelors, married, *, *, male, *, 52735
36 - 37, *, bachelors, married, *, *, male, *, 56032
36 - 37, *, bachelors, married, *, *, male, *, 56678
36 - 37, *, bachelors, married, *, *, male, *, 75734
36 - 37, *, bachelors, married, *, *, male, *, 44887
36 - 37, *, bachelors, married, *, *, male, *, 106141
36 - 37, *, bachelors, married, *, *, male, *, 68206
36 - 37, *, bachelors, married, *, *, male, *, 97054
36 - 37, *, bachelors, married, *, *, male, *, 101831
36 - 37, *, bachelors, married, *, *, male, *, 80811
36 - 37, *, bachelors, married, *, *, male, *, 44144
36 - 37, *, bachelors, married, *, *, male, *, 117144
36 - 37, *, bachelors, married, *, *, male, *, 118930
36 - 37, *, bachelors, married, *, *, male, *, 98496
36 - 37, *, bachelors, married, *, *, male, *, 42952
36 - 37, *, bachelors, married, *, *, male, *, 62185
36 - 37, *, bachelors, married, *, *, male, *, 55651
36 - 37, *, bachelors, married, *, *, male, *, 62181
36 - 37, *, bachelors, married, *, *, male, *, 78825
36 - 37, *, bachelors, married, *, *, male, *, 98859
36 - 37, *, bachelors, married, *, *, male, *, 96618
36 - 37, *, bachelors, married, *, *, male, *, 59030
36 - 37, *, bachelors, married, *, *, male, *, 103254
36 - 37, *, bachelors, married, *, *, male, *, 61250
36 - 37, *, bachelors, married, *, *, male, *, 87365
36 - 37, *, bachelors, married, *, *, male, *, 53861
36 - 37, *, bachelors, married, *, *, male, *, 93395
36 - 37, *, bachelors, married, *, *, male, *, 93345
36 - 37, *, bachelors, married, *, *, male, *, 114625
36 - 37, *, bachelors, married, *, *, male, *, 48528
36 - 37, *, bachelors, married, *, *, male, *, 69235
36 - 37, *, bachelors, married, *, *, male, *, 109291
36 - 37, *, bachelors, married, *, *, male, *, 49059
36 - 37, *, bachelors, married, *, *, male, *, 61038
36 - 37, *, bachelors, married, *, *, male, *, 42735
36 - 37, *, bachelors, married, *, *, male, *, 98661
36 - 37, *, bachelors, married, *, *, male, *, 99722
36 - 37, *, bachelors, married, *, *, male, *, 92409
36 - 37, *, bachelors, married, *, *, male, *, 44011
36 - 37, *, bachelors, married, *, *, male, *, 63413
36 - 37, *, bachelors, married, *, *, male, *, 98020
36 - 37, *, bachelors, married, *, *, male, *, 93098
36 - 37, *, bachelors, married, *, *, male, *, 42463
36 - 37, *, bachelors, married, *, *, male, *, 66430
36 - 37, *, bachelors, married, *, *, male, *, 67573
36 - 37, *, bachelors, married, *, *, male, *, 56810
36 - 37, *, bachelors, married, *, *, male, *, 46560
36 - 37, *, bachelors, married, *, *, male, *, 117559
36 - 37, *, bachelors, married, *, *, male, *, 106337
36 - 37, *, bachelors, married, *, *, male, *, 47538
36 - 37, *, bachelors, married, *, *, male, *, 116614
36 - 37, *, bachelors, married, *, *, male, *, 59269
36 - 37, *, bachelors, married, *, *, male, *, 109903
36 - 37, *, bachelors, married, *, *, male, *, 67101
36 - 37, *, bachelors, married, *, *, male, *, 48069
36 - 37, *, bachelors, married, *, *, male, *, 88527
36 - 37, *, bachelors, married, *, *, male, *, 59235
36 - 37, *, bachelors, married, *, *, male, *, 73332
36 - 37, *, bachelors, married, *, *, male, *, 61839
36 - 37, *, bachelors, married, *, *, male, *, 118563
36 - 37, *, bachelors, married, *, *, male, *, 100214
36 - 37, *, bachelors, married, *, *, male, *, 89681
36 - 37, *, bachelors, married, *, *, male, *, 66033
36 - 37, *, bachelors, married, *, *, male, *, 60651
36 - 37, *, bachelors, married, *, *, male, *, 107421
36 - 37, *, bachelors, married, *, *, male, *, 50739
36 - 37, *, bachelors, married, *, *, male, *, 96565
36 - 37, *, bachelors, married, *, *, male, *, 76166
36 - 37, *, bachelors, married, *, *, male, *, 113533
36 - 37, *, bachelors, married, *, *, male, *, 56201
36 - 37, *, bachelors, married, *, *, male, *, 111867
36 - 37, *, bachelors, married, *, *, male, *, 72478
36 - 37, *, bachelors, married, *, *, male, *, 84891
36 - 37, *, bachelors, married, *, *, male, *, 117269
36 - 37, *, bachelors, married, *, *, male, *, 93760
36 - 37, *, bachelors, married, *, *, male, *, 95707
36 - 37, *, bachelors, married, *, *, male, *, 51700
36 - 37, *, bachelors, married, *, *, male, *, 97728
36 - 37, *, bachelors, married, *, *, male, *, 106330
36 - 37, *, bachelors, married, *, *, male, *, 95047
36 - 37, *, bachelors, married, *, *, male, *, 118712
36 - 37, *, bachelors, married, *, *, male, *, 43127
36 - 37, *, bachelors, married, *, *, male, *, 110108
36 - 37, *, bachelors, married, *, *, male, *, 53008
36 - 37, *, bachelors, married, *, *, male, *, 86178
36 - 37, *, bachelors, married, *, *, male, *, 109873
36 - 37, *, bachelors, married, *, *, male, *, 74424
36 - 37, *, bachelors, married, *, *, male, *, 46923
36 - 37, *, bachelors, married, *, *, male, *, 103677
36 - 37, *, bachelors, married, *, *, male, *, 82104
36 - 37, *, bachelors, married, *, *, male, *, 110383
36 - 37, *, bachelors, married, *, *, male, *, 58627
34 - 37, *, masters, married, *, *, male, *, 121930
34 - 37, *, masters, married, *, *, male, *, 73563
34 - 37, *, masters, married, *, *, male, *, 105750
34 - 37, *, masters, married, *, *, male, *, 98169
34 - 37, *, masters, married, *, *, male, *, 93958
34 - 37, *, masters, married, *, *, male, *, 120154
34 - 37, *, masters, married, *, *, male, *, 127429
34 - 37, *, masters, married, *, *, male, *, 135597
34 - 37, *, masters, married, *, *, male, *, 78354
34 - 37, *, masters, married, *, *, male, *, 58098
34 - 37, *, masters, married, *, *, male, *, 86510
34 - 37, *, masters, married, *, *, male, *, 135315
34 - 37, *, masters, married, *, *, male, *, 119937
34 - 37, *, masters, married, *, *, male, *, 111778
34 - 37, *, masters, married, *, *, male, *, 68926
34 - 37, *, masters, married, *, *, male, *, 72843
34 - 37, *, masters, married, *, *, male, *, 113075
34 - 37, *, masters, married, *, *, male, *, 75053
34 - 37, *, masters, married, *, *, male, *, 107443
34 - 37, *, masters, married, *, *, male, *, 85148
34 - 37, *, masters, married, *, *, male, *, 124687
34 - 37, *, masters, married, *, *, male, *, 100116
34 - 37, *, masters, married, *, *, male, *, 82897
34 - 37, *, masters, married, *, *, male, *, 139013
34 - 37, *, masters, married, *, *, male, *, 89804
34 - 37, *, masters, married, *, *, male, *, 77120
34 - 37, *, masters, married, *, *, male, *, 91567
34 - 37, *, masters, married, *, *, male, *, 90578
34 - 37, *, masters, married, *, *, male, *, 122373
34 - 37, *, masters, married, *, *, male, *, 100424
34 - 37, *, masters, married, *, *, male, *, 116315
34 - 37, *, masters, married, *, *, male, *, 66602
34 - 37, *, masters, married, *, *, male, *, 119021
34 - 37, *, masters, married, *, *, male, *, 125024
34 - 37, *, masters, married, *, *, male, *, 84541
34 - 37, *, masters, married, *, *, male, *, 123671
34 - 37, *, masters, married, *, *, male, *, 126046
34 - 37, *, masters, married, *, *, male, *, 127678
34 - 37, *, masters, married, *, *, male, *, 58680
34 - 37, *, masters, married, *, *, male, *, 98590
34 - 37, *, masters, married, *, *, male, *, 83349
34 - 37, *, masters, married, *, *, male, *, 80929
34 - 37, *, masters, married, *, *, male, *, 74962
34 - 37, *, masters, married, *, *, male, *, 98893
34 - 37, *, masters, married, *, *, male, *, 90290
34 - 37, *, masters, married, *, *, male, *, 94887
34 - 37, *, masters, married, *, *, male, *, 73166
34 - 37, *, masters, married, *, *, male, *, 76875
34 - 37, *, masters, married, *, *, male, *, 104239
34 - 37, *, masters, married, *, *, male, *, 92553
34 - 37, *, masters, married, *, *, male, *, 113153
34 - 37, *, masters, married, *, *, male, *, 86049
34 - 37, *, masters, married, *, *, male, *, 88113
34 - 37, *, masters, married, *, *, male, *, 50778
34 - 37, *, masters, married, *, *, male, *, 98847
34 - 37, *, masters, married, *, *, male, *, 88837
34 - 37, *, masters, married, *, *, male, *, 116410
34 - 37, *, masters, married, *, *, male, *, 61904
34 - 37, *, masters, married, *, *, male, *, 58712
34 - 37, *, masters, married, *, *, male, *, 59061
34 - 37, *, masters, married, *, *, male, *, 89472
34 - 37, *, masters, married, *, *, male, *, 56796
34 - 37, *, masters, married, *, *, male, *, 133066
34 - 37, *, masters, married, *, *, male, *, 70249
34 - 37, *, masters, married, *, *, male, *, 56531
34 - 37, *, masters, married, *, *, male, *, 137320
34 - 37, *, masters, married, *, *, male, *, 129278
34 - 37, *, masters, married, *, *, male, *, 121901
34 - 37, *, masters, married, *, *, male, *, 111659
