*, *, pre-primary, married, *, *, *, *, 19264
*, *, hs-grad, married, *, *, *, *, 67669
*, *, hs-grad, married, *, *, *, *, 57177
*, *, hs-grad, married, *, *, *, *, 43883
*, *, hs-grad, married, *, *, *, *, 83101
*, *, hs-grad, married, *, *, *, *, 39998
*, *, hs-grad, married, *, *, *, *, 93244
*, *, hs-grad, married, *, *, *, *, 72171
*, *, hs-grad, married, *, *, *, *, 59829
*, *, hs-grad, married, *, *, *, *, 90988
*, *, hs-grad, married, *, *, *, *, 65718
*, *, hs-grad, married, *, *, *, *, 50670
*, *, hs-grad, married, *, *, *, *, 47005
*, *, hs-grad, married, *, *, *, *, 92154
*, *, hs-grad, married, *, *, *, *, 49101
*, *, hs-grad, married, *, *, *, *, 53000
*, *, hs-grad, married, *, *, *, *, 79547
*, *, hs-grad, married, *, *, *, *, 64221
*, *, hs-grad, married, *, *, *, *, 90798
*, *, hs-grad, married, *, *, *, *, 84573
*, *, hs-grad, married, *, *, *, *, 85420
*, *, hs-grad, married, *, *, *, *, 44140
*, *, hs-grad, married, *, *, *, *, 78391
*, *, hs-grad, married, *, *, *, *, 69131
*, *, hs-grad, married, *, *, *, *, 75073
*, *, hs-grad, married, *, *, *, *, 91966
*, *, hs-grad, married, *, *, *, *, 37112
*, *, hs-grad, married, *, *, *, *, 42666
*, *, hs-grad, married, *, *, *, *, 60993
*, *, hs-grad, married, *, *, *, *, 43497
*, *, hs-grad, married, *, *, *, *, 64521
*, *, hs-grad, married, *, *, *, *, 83930
*, *, hs-grad, married, *, *, *, *, 44065
*, *, hs-grad, married, *, *, *, *, 75743
*, *, hs-grad, married, *, *, *, *, 84744
*, *, hs-grad, married, *, *, *, *, 92793
*, *, hs-grad, married, *, *, *, *, 36496
*, *, hs-grad, married, *, *, *, *, 80453
*, *, hs-grad, married, *, *, *, *, 52603
*, *, hs-grad, married, *, *, *, *, 37507
*, *, hs-grad, married, *, *, *, *, 75762
*, *, hs-grad, married, *, *, *, *, 53180
*, *, hs-grad, married, *, *, *, *, 93801
*, *, hs-grad, married, *, *, *, *, 35314
*, *, hs-grad, married, *, *, *, *, 88872
*, *, hs-grad, married, *, *, *, *, 89610
*, *, hs-grad, married, *, *, *, *, 42813
*, *, hs-grad, married, *, *, *, *, 47949
*, *, hs-grad, married, *, *, *, *, 81019
*, *, hs-grad, married, *, *, *, *, 70727
*, *, hs-grad, married, *, *, *, *, 76605
*, *, hs-grad, married, *, *, *, *, 83319
*, *, hs-grad, married, *, *, *, *, 82848
*, *, hs-grad, married, *, *, *, *, 78222
*, *, hs-grad, married, *, *, *, *, 55728
*, *, hs-grad, married, *, *, *, *, 72062
*, *, hs-grad, married, *, *, *, *, 90893
*, *, hs-grad, married, *, *, *, *, 85372
*, *, hs-grad, married, *, *, *, *, 42918
*, *, hs-grad, married, *, *, *, *, 52668
*, *, hs-grad, married, *, *, *, *, 60451
*, *, hs-grad, married, *, *, *, *, 79829
*, *, hs-grad, married, *, *, *, *, 35838
*, *, hs-grad, married, *, *, *, *, 73685
*, *, hs-grad, married, *, *, *, *, 46086
*, *, hs-grad, married, *, *, *, *, 52857
*, *, hs-grad, married, *, *, *, *, 38406
*, *, hs-grad, married, *, *, *, *, 67806
*, *, hs-grad, married, *, *, *, *, 47802
*, *, hs-grad, married, *, *, *, *, 90883
*, *, hs-grad, married, *, *, *, *, 76320
*, *, hs-grad, married, *, *, *, *, 49290
*, *, hs-grad, married, *, *, *, *, 59922
*, *, hs-grad, married, *, *, *, *, 91905
*, *, hs-grad, married, *, *, *, *, 61813
*, *, hs-grad, married, *, *, *, *, 64268
*, *, hs-grad, married, *, *, *, *, 77432
*, *, hs-grad, married, *, *, *, *, 41851
*, *, hs-grad, married, *, *, *, *, 36854
*, *, hs-grad, married, *, *, *, *, 79806
*, *, hs-grad, married, *, *, *, *, 54596
*, *, hs-grad, married, *, *, *, *, 38321
*, *, hs-grad, married, *, *, *, *, 68962
*, *, hs-grad, married, *, *, *, *, 36045
*, *, hs-grad, married, *, *, *, *, 50112
*, *, hs-grad, married, *, *, *, *, 88042
*, *, hs-grad, married, *, *, *, *, 81011
*, *, hs-grad, married, *, *, *, *, 40047
*, *, hs-grad, married, *, *, *, *, 48131
*, *, hs-grad, married, *, *, *, *, 88023
*, *, hs-grad, married, *, *, *, *, 62333
*, *, hs-grad, married, *, *, *, *, 54732
*, *, hs-grad, married, *, *, *, *, 81835
*, *, hs-grad, married, *, *, *, *, 66597
*, *, hs-grad, married, *, *, *, *, 84822
*, *, hs-grad, married, *, *, *, *, 72180
*, *, hs-grad, married, *, *, *, *, 83598
*, *, hs-grad, married, *, *, *, *, 83747
*, *, hs-grad, married, *, *, *, *, 41700
*, *, hs-grad, married, *, *, *, *, 55324
*, *, hs-grad, married, *, *, *, *, 49689
*, *, hs-grad, married, *, *, *, *, 47726
*, *, hs-grad, married, *, *, *, *, 90763
*, *, hs-grad, married, *, *, *, *, 79584
*, *, hs-grad, married, *, *, *, *, 67022
*, *, hs-grad, married, *, *, *, *, 70937
*, *, hs-grad, married, *, *, *, *, 71422
*, *, hs-grad, married, *, *, *, *, 86562
*, *, hs-grad, married, *, *, *, *, 56006
*, *, hs-grad, married, *, *, *, *, 81396
*, *, hs-grad, married, *, *, *, *, 53927
*, *, hs-grad, married, *, *, *, *, 37033
*, *, hs-grad, married, *, *, *, *, 86056
*, *, hs-grad, married, *, *, *, *, 81052
*, *, hs-grad, married, *, *, *, *, 53166
*, *, hs-grad, married, *, *, *, *, 94244
*, *, hs-grad, married, *, *, *, *, 38466
*, *, hs-grad, married, *, *, *, *, 67603
*, *, hs-grad, married, *, *, *, *, 44157
*, *, hs-grad, married, *, *, *, *, 54137
*, *, hs-grad, married, *, *, *, *, 73729
*, *, hs-grad, married, *, *, *, *, 41856
*, *, hs-grad, married, *, *, *, *, 72682
*, *, hs-grad, married, *, *, *, *, 47285
*, *, hs-grad, married, *, *, *, *, 74832
*, *, hs-grad, married, *, *, *, *, 91637
*, *, hs-grad, married, *, *, *, *, 48227
*, *, hs-grad, married, *, *, *, *, 44420
*, *, hs-grad, married, *, *, *, *, 64767
*, *, hs-grad, married, *, *, *, *, 44630
*, *, hs-grad, married, *, *, *, *, 45984
*, *, hs-grad, married, *, *, *, *, 75532
*, *, hs-grad, married, *, *, *, *, 47938
*, *, hs-grad, married, *, *, *, *, 78143
*, *, hs-grad, married, *, *, *, *, 43001
*, *, hs-grad, married, *, *, *, *, 59283
*, *, hs-grad, married, *, *, *, *, 67328
*, *, hs-grad, married, *, *, *, *, 36733
*, *, hs-grad, married, *, *, *, *, 44340
*, *, hs-grad, married, *, *, *, *, 93950
*, *, hs-grad, married, *, *, *, *, 78611
*, *, hs-grad, married, *, *, *, *, 60206
*, *, hs-grad, married, *, *, *, *, 52374
*, *, hs-grad, married, *, *, *, *, 38955
*, *, hs-grad, married, *, *, *, *, 78823
*, *, hs-grad, married, *, *, *, *, 43115
*, *, hs-grad, married, *, *, *, *, 55263
*, *, hs-grad, married, *, *, *, *, 83828
*, *, hs-grad, married, *, *, *, *, 57333
*, *, hs-grad, married, *, *, *, *, 84616
*, *, hs-grad, married, *, *, *, *, 74285
*, *, hs-grad, married, *, *, *, *, 46972
*, *, hs-grad, married, *, *, *, *, 54729
*, *, hs-grad, married, *, *, *, *, 92260
*, *, hs-grad, married, *, *, *, *, 60632
*, *, hs-grad, married, *, *, *, *, 70427
*, *, hs-grad, married, *, *, *, *, 79971
*, *, hs-grad, married, *, *, *, *, 74387
*, *, hs-grad, married, *, *, *, *, 69041
*, *, hs-grad, married, *, *, *, *, 87224
*, *, hs-grad, married, *, *, *, *, 55490
*, *, hs-grad, married, *, *, *, *, 40420
*, *, hs-grad, married, *, *, *, *, 78372
*, *, hs-grad, married, *, *, *, *, 82192
*, *, hs-grad, married, *, *, *, *, 79309
*, *, hs-grad, married, *, *, *, *, 60748
*, *, hs-grad, married, *, *, *, *, 63248
*, *, hs-grad, married, *, *, *, *, 39607
*, *, hs-grad, married, *, *, *, *, 69071
*, *, hs-grad, married, *, *, *, *, 39868
*, *, hs-grad, married, *, *, *, *, 67316
*, *, hs-grad, married, *, *, *, *, 85796
*, *, hs-grad, married, *, *, *, *, 86158
*, *, hs-grad, married, *, *, *, *, 89346
*, *, hs-grad, married, *, *, *, *, 37540
*, *, hs-grad, married, *, *, *, *, 70806
*, *, hs-grad, married, *, *, *, *, 87655
*, *, hs-grad, married, *, *, *, *, 50712
*, *, hs-grad, married, *, *, *, *, 40330
*, *, hs-grad, married, *, *, *, *, 56354
*, *, hs-grad, married, *, *, *, *, 57389
*, *, hs-grad, married, *, *, *, *, 49226
*, *, hs-grad, married, *, *, *, *, 61313
*, *, hs-grad, married, *, *, *, *, 67068
*, *, hs-grad, married, *, *, *, *, 38614
*, *, hs-grad, married, *, *, *, *, 65105
*, *, hs-grad, married, *, *, *, *, 38002
*, *, hs-grad, married, *, *, *, *, 80588
*, *, hs-grad, married, *, *, *, *, 53618
*, *, hs-grad, married, *, *, *, *, 58553
*, *, hs-grad, married, *, *, *, *, 59942
*, *, hs-grad, married, *, *, *, *, 43277
*, *, hs-grad, married, *, *, *, *, 88862
*, *, hs-grad, married, *, *, *, *, 48666
*, *, hs-grad, married, *, *, *, *, 91308
*, *, hs-grad, married, *, *, *, *, 55483
*, *, hs-grad, married, *, *, *, *, 39994
*, *, hs-grad, married, *, *, *, *, 69141
*, *, hs-grad, married, *, *, *, *, 36718
*, *, hs-grad, married, *, *, *, *, 87937
*, *, hs-grad, married, *, *, *, *, 93164
*, *, hs-grad, married, *, *, *, *, 89292
*, *, hs-grad, married, *, *, *, *, 66072
*, *, hs-grad, married, *, *, *, *, 81165
*, *, hs-grad, married, *, *, *, *, 51982
*, *, hs-grad, married, *, *, *, *, 84245
*, *, hs-grad, married, *, *, *, *, 38253
*, *, hs-grad, married, *, *, *, *, 53687
*, *, hs-grad, married, *, *, *, *, 93328
*, *, hs-grad, married, *, *, *, *, 84626
*, *, hs-grad, married, *, *, *, *, 64908
*, *, hs-grad, married, *, *, *, *, 67631
*, *, hs-grad, married, *, *, *, *, 54782
*, *, hs-grad, married, *, *, *, *, 52571
*, *, hs-grad, married, *, *, *, *, 77895
*, *, hs-grad, married, *, *, *, *, 89744
*, *, hs-grad, married, *, *, *, *, 80972
*, *, hs-grad, married, *, *, *, *, 54233
*, *, hs-grad, married, *, *, *, *, 87527
*, *, hs-grad, married, *, *, *, *, 89304
*, *, hs-grad, married, *, *, *, *, 47872
*, *, hs-grad, married, *, *, *, *, 92403
*, *, hs-grad, married, *, *, *, *, 66356
*, *, hs-grad, married, *, *, *, *, 44093
*, *, hs-grad, married, *, *, *, *, 56767
*, *, hs-grad, married, *, *, *, *, 51935
*, *, hs-grad, married, *, *, *, *, 51021
*, *, hs-grad, married, *, *, *, *, 69966
*, *, hs-grad, married, *, *, *, *, 68525
*, *, hs-grad, married, *, *, *, *, 57178
*, *, hs-grad, married, *, *, *, *, 47980
*, *, hs-grad, married, *, *, *, *, 54238
*, *, hs-grad, married, *, *, *, *, 93537
*, *, hs-grad, married, *, *, *, *, 36279
*, *, hs-grad, married, *, *, *, *, 75878
*, *, hs-grad, married, *, *, *, *, 89260
*, *, hs-grad, married, *, *, *, *, 74582
*, *, hs-grad, married, *, *, *, *, 39779
*, *, hs-grad, married, *, *, *, *, 66019
*, *, hs-grad, married, *, *, *, *, 66194
*, *, hs-grad, married, *, *, *, *, 56940
*, *, hs-grad, married, *, *, *, *, 91106
*, *, hs-grad, married, *, *, *, *, 67447
*, *, hs-grad, married, *, *, *, *, 90046
*, *, hs-grad, married, *, *, *, *, 52009
*, *, hs-grad, married, *, *, *, *, 86468
*, *, hs-grad, married, *, *, *, *, 62741
*, *, hs-grad, married, *, *, *, *, 74675
*, *, hs-grad, married, *, *, *, *, 36310
*, *, hs-grad, married, *, *, *, *, 46210
*, *, hs-grad, married, *, *, *, *, 94330
*, *, hs-grad, married, *, *, *, *, 66854
*, *, hs-grad, married, *, *, *, *, 91585
*, *, hs-grad, married, *, *, *, *, 94418
*, *, hs-grad, married, *, *, *, *, 60868
*, *, hs-grad, married, *, *, *, *, 60850
*, *, hs-grad, married, *, *, *, *, 82856
*, *, hs-grad, married, *, *, *, *, 92350
*, *, hs-grad, married, *, *, *, *, 37755
*, *, hs-grad, married, *, *, *, *, 38890
*, *, hs-grad, married, *, *, *, *, 52286
*, *, hs-grad, married, *, *, *, *, 49391
*, *, hs-grad, married, *, *, *, *, 57637
*, *, hs-grad, married, *, *, *, *, 49376
*, *, hs-grad, married, *, *, *, *, 55965
*, *, hs-grad, married, *, *, *, *, 68070
*, *, hs-grad, married, *, *, *, *, 35753
*, *, hs-grad, married, *, *, *, *, 56638
*, *, hs-grad, married, *, *, *, *, 62256
*, *, hs-grad, married, *, *, *, *, 50349
*, *, hs-grad, married, *, *, *, *, 70599
*, *, hs-grad, married, *, *, *, *, 68633
*, *, hs-grad, married, *, *, *, *, 42418
*, *, hs-grad, married, *, *, *, *, 36417
*, *, hs-grad, married, *, *, *, *, 64453
*, *, hs-grad, married, *, *, *, *, 45012
*, *, hs-grad, married, *, *, *, *, 54378
*, *, hs-grad, married, *, *, *, *, 78915
*, *, hs-grad, married, *, *, *, *, 74095
*, *, hs-grad, married, *, *, *, *, 51667
*, *, hs-grad, married, *, *, *, *, 92398
*, *, hs-grad, married, *, *, *, *, 87837
*, *, hs-grad, married, *, *, *, *, 87946
*, *, hs-grad, married, *, *, *, *, 82655
*, *, hs-grad, married, *, *, *, *, 92955
*, *, hs-grad, married, *, *, *, *, 85165
*, *, hs-grad, married, *, *, *, *, 81784
*, *, hs-grad, married, *, *, *, *, 63062
*, *, hs-grad, married, *, *, *, *, 69558
*, *, hs-grad, married, *, *, *, *, 75462
*, *, hs-grad, married, *, *, *, *, 75046
*, *, hs-grad, married, *, *, *, *, 66311
*, *, hs-grad, married, *, *, *, *, 51526
*, *, hs-grad, married, *, *, *, *, 54080
*, *, hs-grad, married, *, *, *, *, 50954
*, *, hs-grad, married, *, *, *, *, 59461
*, *, hs-grad, married, *, *, *, *, 38014
*, *, hs-grad, married, *, *, *, *, 64711
*, *, hs-grad, married, *, *, *, *, 63122
*, *, hs-grad, married, *, *, *, *, 70165
*, *, hs-grad, married, *, *, *, *, 66723
*, *, hs-grad, married, *, *, *, *, 59776
*, *, hs-grad, married, *, *, *, *, 52592
*, *, hs-grad, married, *, *, *, *, 88304
*, *, hs-grad, married, *, *, *, *, 64544
*, *, hs-grad, married, *, *, *, *, 65571
*, *, hs-grad, married, *, *, *, *, 62247
*, *, hs-grad, married, *, *, *, *, 73711
*, *, hs-grad, married, *, *, *, *, 46401
*, *, hs-grad, married, *, *, *, *, 72601
*, *, hs-grad, married, *, *, *, *, 46460
*, *, hs-grad, married, *, *, *, *, 59588
*, *, hs-grad, married, *, *, *, *, 79908
*, *, hs-grad, married, *, *, *, *, 88136
*, *, hs-grad, married, *, *, *, *, 56496
*, *, hs-grad, married, *, *, *, *, 44734
*, *, hs-grad, married, *, *, *, *, 50929
*, *, hs-grad, married, *, *, *, *, 38486
*, *, hs-grad, married, *, *, *, *, 83744
*, *, hs-grad, married, *, *, *, *, 47528
*, *, hs-grad, married, *, *, *, *, 62848
*, *, hs-grad, married, *, *, *, *, 67240
*, *, hs-grad, married, *, *, *, *, 56997
*, *, hs-grad, married, *, *, *, *, 87537
*, *, hs-grad, married, *, *, *, *, 72295
*, *, hs-grad, married, *, *, *, *, 74515
*, *, hs-grad, married, *, *, *, *, 93631
*, *, hs-grad, married, *, *, *, *, 73960
*, *, hs-grad, married, *, *, *, *, 78458
*, *, hs-grad, married, *, *, *, *, 68913
*, *, hs-grad, married, *, *, *, *, 66787
*, *, hs-grad, married, *, *, *, *, 88526
*, *, hs-grad, married, *, *, *, *, 43372
*, *, hs-grad, married, *, *, *, *, 91117
*, *, hs-grad, married, *, *, *, *, 38296
*, *, hs-grad, married, *, *, *, *, 54760
*, *, hs-grad, married, *, *, *, *, 40529
*, *, hs-grad, married, *, *, *, *, 71152
*, *, hs-grad, married, *, *, *, *, 92449
*, *, hs-grad, married, *, *, *, *, 48942
*, *, hs-grad, married, *, *, *, *, 60608
*, *, hs-grad, married, *, *, *, *, 54227
*, *, hs-grad, married, *, *, *, *, 37252
*, *, hs-grad, married, *, *, *, *, 39119
*, *, hs-grad, married, *, *, *, *, 64959
*, *, hs-grad, married, *, *, *, *, 71718
*, *, hs-grad, married, *, *, *, *, 80225
*, *, hs-grad, married, *, *, *, *, 92489
*, *, hs-grad, married, *, *, *, *, 57683
*, *, hs-grad, married, *, *, *, *, 35846
*, *, hs-grad, married, *, *, *, *, 92782
*, *, hs-grad, married, *, *, *, *, 90415
*, *, hs-grad, married, *, *, *, *, 57544
*, *, hs-grad, married, *, *, *, *, 45022
*, *, hs-grad, married, *, *, *, *, 83325
*, *, hs-grad, married, *, *, *, *, 43266
*, *, hs-grad, married, *, *, *, *, 53226
*, *, hs-grad, married, *, *, *, *, 64271
*, *, hs-grad, married, *, *, *, *, 80448
*, *, hs-grad, married, *, *, *, *, 44496
*, *, hs-grad, married, *, *, *, *, 93435
*, *, hs-grad, married, *, *, *, *, 38851
*, *, hs-grad, married, *, *, *, *, 86186
*, *, hs-grad, married, *, *, *, *, 70500
*, *, hs-grad, married, *, *, *, *, 45205
*, *, hs-grad, married, *, *, *, *, 66398
*, *, hs-grad, married, *, *, *, *, 69716
*, *, hs-grad, married, *, *, *, *, 77088
*, *, hs-grad, married, *, *, *, *, 36866
*, *, hs-grad, married, *, *, *, *, 68815
*, *, hs-grad, married, *, *, *, *, 59396
*, *, hs-grad, married, *, *, *, *, 42601
*, *, hs-grad, married, *, *, *, *, 89288
*, *, hs-grad, married, *, *, *, *, 92632
*, *, hs-grad, married, *, *, *, *, 75880
*, *, hs-grad, married, *, *, *, *, 43909
*, *, hs-grad, married, *, *, *, *, 45887
*, *, hs-grad, married, *, *, *, *, 66127
*, *, hs-grad, married, *, *, *, *, 66590
*, *, hs-grad, married, *, *, *, *, 61945
*, *, hs-grad, married, *, *, *, *, 80454
*, *, hs-grad, married, *, *, *, *, 48201
*, *, hs-grad, married, *, *, *, *, 55935
*, *, hs-grad, married, *, *, *, *, 49677
*, *, hs-grad, married, *, *, *, *, 77061
*, *, hs-grad, married, *, *, *, *, 77225
*, *, hs-grad, married, *, *, *, *, 47835
*, *, hs-grad, married, *, *, *, *, 87496
*, *, hs-grad, married, *, *, *, *, 75993
*, *, hs-grad, married, *, *, *, *, 51037
*, *, hs-grad, married, *, *, *, *, 49392
*, *, hs-grad, married, *, *, *, *, 72168
*, *, hs-grad, married, *, *, *, *, 68754
*, *, hs-grad, married, *, *, *, *, 46803
*, *, hs-grad, married, *, *, *, *, 73172
*, *, hs-grad, married, *, *, *, *, 76481
*, *, hs-grad, married, *, *, *, *, 70679
*, *, hs-grad, married, *, *, *, *, 56272
*, *, hs-grad, married, *, *, *, *, 92376
*, *, hs-grad, married, *, *, *, *, 53725
*, *, hs-grad, married, *, *, *, *, 50828
*, *, hs-grad, married, *, *, *, *, 92834
*, *, hs-grad, married, *, *, *, *, 40399
*, *, hs-grad, married, *, *, *, *, 80570
*, *, hs-grad, married, *, *, *, *, 48483
*, *, hs-grad, married, *, *, *, *, 66112
*, *, hs-grad, married, *, *, *, *, 70656
*, *, hs-grad, married, *, *, *, *, 50948
*, *, hs-grad, married, *, *, *, *, 84457
*, *, hs-grad, married, *, *, *, *, 84156
*, *, hs-grad, married, *, *, *, *, 84093
*, *, hs-grad, married, *, *, *, *, 44651
*, *, hs-grad, married, *, *, *, *, 88050
*, *, hs-grad, married, *, *, *, *, 47189
*, *, hs-grad, married, *, *, *, *, 54804
*, *, hs-grad, married, *, *, *, *, 69033
*, *, hs-grad, married, *, *, *, *, 89743
*, *, hs-grad, married, *, *, *, *, 65453
*, *, hs-grad, married, *, *, *, *, 83353
*, *, hs-grad, married, *, *, *, *, 77976
*, *, hs-grad, married, *, *, *, *, 39913
*, *, hs-grad, married, *, *, *, *, 81044
*, *, hs-grad, married, *, *, *, *, 64617
*, *, hs-grad, married, *, *, *, *, 79317
*, *, hs-grad, married, *, *, *, *, 81092
*, *, hs-grad, married, *, *, *, *, 73251
*, *, hs-grad, married, *, *, *, *, 57710
*, *, hs-grad, married, *, *, *, *, 82654
*, *, hs-grad, married, *, *, *, *, 45009
*, *, hs-grad, married, *, *, *, *, 87437
*, *, hs-grad, married, *, *, *, *, 94133
*, *, hs-grad, married, *, *, *, *, 92732
*, *, hs-grad, married, *, *, *, *, 65377
*, *, hs-grad, married, *, *, *, *, 40483
*, *, hs-grad, married, *, *, *, *, 42447
*, *, hs-grad, married, *, *, *, *, 66333
*, *, hs-grad, married, *, *, *, *, 35781
*, *, hs-grad, married, *, *, *, *, 54932
*, *, hs-grad, married, *, *, *, *, 94542
*, *, hs-grad, married, *, *, *, *, 78446
*, *, hs-grad, married, *, *, *, *, 55692
*, *, hs-grad, married, *, *, *, *, 64941
*, *, hs-grad, married, *, *, *, *, 80685
*, *, hs-grad, married, *, *, *, *, 61257
*, *, hs-grad, married, *, *, *, *, 68240
*, *, hs-grad, married, *, *, *, *, 76884
*, *, hs-grad, married, *, *, *, *, 54495
*, *, hs-grad, married, *, *, *, *, 44152
*, *, hs-grad, married, *, *, *, *, 64878
*, *, hs-grad, married, *, *, *, *, 44407
*, *, hs-grad, married, *, *, *, *, 53797
*, *, hs-grad, married, *, *, *, *, 92426
*, *, hs-grad, married, *, *, *, *, 62651
*, *, hs-grad, married, *, *, *, *, 84508
*, *, hs-grad, married, *, *, *, *, 87076
*, *, hs-grad, married, *, *, *, *, 38675
*, *, hs-grad, married, *, *, *, *, 47701
*, *, hs-grad, married, *, *, *, *, 52311
*, *, hs-grad, married, *, *, *, *, 49639
*, *, hs-grad, married, *, *, *, *, 85384
*, *, hs-grad, married, *, *, *, *, 52824
*, *, hs-grad, married, *, *, *, *, 68733
*, *, hs-grad, married, *, *, *, *, 64415
*, *, hs-grad, married, *, *, *, *, 51565
*, *, hs-grad, married, *, *, *, *, 47555
*, *, hs-grad, married, *, *, *, *, 48323
*, *, hs-grad, married, *, *, *, *, 80361
*, *, hs-grad, married, *, *, *, *, 52783
*, *, hs-grad, married, *, *, *, *, 57317
*, *, hs-grad, married, *, *, *, *, 41085
*, *, hs-grad, married, *, *, *, *, 78775
*, *, hs-grad, married, *, *, *, *, 65186
*, *, hs-grad, married, *, *, *, *, 83930
*, *, hs-grad, married, *, *, *, *, 55429
*, *, hs-grad, married, *, *, *, *, 90961
*, *, hs-grad, married, *, *, *, *, 41846
*, *, hs-grad, married, *, *, *, *, 50643
*, *, hs-grad, married, *, *, *, *, 81447
*, *, hs-grad, married, *, *, *, *, 56932
*, *, hs-grad, married, *, *, *, *, 61250
*, *, hs-grad, married, *, *, *, *, 65496
*, *, hs-grad, married, *, *, *, *, 50779
*, *, hs-grad, married, *, *, *, *, 38924
*, *, hs-grad, married, *, *, *, *, 52141
*, *, hs-grad, married, *, *, *, *, 57236
*, *, hs-grad, married, *, *, *, *, 94477
*, *, hs-grad, married, *, *, *, *, 58908
*, *, hs-grad, married, *, *, *, *, 64645
*, *, hs-grad, married, *, *, *, *, 87362
*, *, hs-grad, married, *, *, *, *, 37569
*, *, hs-grad, married, *, *, *, *, 36311
*, *, hs-grad, married, *, *, *, *, 91284
*, *, hs-grad, married, *, *, *, *, 37590
*, *, hs-grad, married, *, *, *, *, 60237
*, *, hs-grad, married, *, *, *, *, 76634
*, *, hs-grad, married, *, *, *, *, 53157
*, *, hs-grad, married, *, *, *, *, 45026
*, *, hs-grad, married, *, *, *, *, 51623
*, *, hs-grad, married, *, *, *, *, 59275
*, *, hs-grad, married, *, *, *, *, 93732
*, *, hs-grad, married, *, *, *, *, 46741
*, *, hs-grad, married, *, *, *, *, 45951
*, *, hs-grad, married, *, *, *, *, 89481
*, *, hs-grad, married, *, *, *, *, 63500
*, *, hs-grad, married, *, *, *, *, 48176
*, *, hs-grad, married, *, *, *, *, 72272
*, *, hs-grad, married, *, *, *, *, 82278
*, *, hs-grad, married, *, *, *, *, 69769
*, *, hs-grad, married, *, *, *, *, 45085
*, *, hs-grad, married, *, *, *, *, 61440
*, *, hs-grad, married, *, *, *, *, 72431
*, *, hs-grad, married, *, *, *, *, 47091
*, *, hs-grad, married, *, *, *, *, 56174
*, *, hs-grad, married, *, *, *, *, 42905
*, *, hs-grad, married, *, *, *, *, 59245
*, *, hs-grad, married, *, *, *, *, 46541
*, *, hs-grad, married, *, *, *, *, 58539
*, *, hs-grad, married, *, *, *, *, 70255
*, *, hs-grad, married, *, *, *, *, 59517
*, *, hs-grad, married, *, *, *, *, 49102
*, *, hs-grad, married, *, *, *, *, 77989
*, *, hs-grad, married, *, *, *, *, 48197
*, *, hs-grad, married, *, *, *, *, 51269
*, *, hs-grad, married, *, *, *, *, 71756
*, *, hs-grad, married, *, *, *, *, 79216
*, *, hs-grad, married, *, *, *, *, 52630
*, *, hs-grad, married, *, *, *, *, 41314
*, *, hs-grad, married, *, *, *, *, 85899
*, *, hs-grad, married, *, *, *, *, 91784
*, *, hs-grad, married, *, *, *, *, 44683
*, *, hs-grad, married, *, *, *, *, 49724
*, *, hs-grad, married, *, *, *, *, 57488
*, *, hs-grad, married, *, *, *, *, 76143
*, *, hs-grad, married, *, *, *, *, 43206
*, *, hs-grad, married, *, *, *, *, 48147
*, *, hs-grad, married, *, *, *, *, 84916
*, *, hs-grad, married, *, *, *, *, 76625
*, *, hs-grad, married, *, *, *, *, 37160
*, *, hs-grad, married, *, *, *, *, 85914
*, *, hs-grad, married, *, *, *, *, 69298
*, *, hs-grad, married, *, *, *, *, 79386
*, *, hs-grad, married, *, *, *, *, 52568
*, *, hs-grad, married, *, *, *, *, 70900
*, *, hs-grad, married, *, *, *, *, 63369
*, *, hs-grad, married, *, *, *, *, 84207
*, *, hs-grad, married, *, *, *, *, 64196
*, *, hs-grad, married, *, *, *, *, 65977
*, *, hs-grad, married, *, *, *, *, 78067
*, *, hs-grad, married, *, *, *, *, 50619
*, *, hs-grad, married, *, *, *, *, 56407
*, *, hs-grad, married, *, *, *, *, 49192
*, *, hs-grad, married, *, *, *, *, 91029
*, *, hs-grad, married, *, *, *, *, 94317
*, *, hs-grad, married, *, *, *, *, 76650
*, *, hs-grad, married, *, *, *, *, 80358
*, *, hs-grad, married, *, *, *, *, 89499
*, *, hs-grad, married, *, *, *, *, 39436
*, *, hs-grad, married, *, *, *, *, 46750
*, *, hs-grad, married, *, *, *, *, 77665
*, *, hs-grad, married, *, *, *, *, 59170
*, *, hs-grad, married, *, *, *, *, 72762
*, *, hs-grad, married, *, *, *, *, 58777
*, *, hs-grad, married, *, *, *, *, 69249
*, *, hs-grad, married, *, *, *, *, 45252
*, *, hs-grad, married, *, *, *, *, 62528
*, *, hs-grad, married, *, *, *, *, 82658
*, *, hs-grad, married, *, *, *, *, 52250
*, *, hs-grad, married, *, *, *, *, 47048
*, *, hs-grad, married, *, *, *, *, 62761
*, *, hs-grad, married, *, *, *, *, 60807
*, *, hs-grad, married, *, *, *, *, 42053
*, *, hs-grad, married, *, *, *, *, 59222
*, *, hs-grad, married, *, *, *, *, 42272
*, *, hs-grad, married, *, *, *, *, 77448
*, *, hs-grad, married, *, *, *, *, 55664
*, *, hs-grad, married, *, *, *, *, 43537
*, *, hs-grad, married, *, *, *, *, 78184
*, *, hs-grad, married, *, *, *, *, 89823
*, *, hs-grad, married, *, *, *, *, 59250
*, *, hs-grad, married, *, *, *, *, 66323
*, *, hs-grad, married, *, *, *, *, 67146
*, *, hs-grad, married, *, *, *, *, 62885
*, *, hs-grad, married, *, *, *, *, 71962
