20 - 26, non-government, pre-primary, married, *, *, male, *, 43685
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 131238
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 128215
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 34014
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 106650
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 18172
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 145186
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 169639
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 15572
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 190145
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 179389
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 197590
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 41424
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 141333
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 181574
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 85557
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 109332
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 134727
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 11410
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 164298
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 18678
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 95924
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 99885
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 86559
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 54551
20 - 24, private, assoc-acdm, never-married, customer-service, *, female, united-states, 66215
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 13462
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 37052
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 41629
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 68599
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 45109
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 44846
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 61228
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 174422
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 181986
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 119160
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 42856
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 40916
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 13134
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 81961
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 80495
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 74718
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 137884
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 38850
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 49718
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 60205
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 162470
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 22149
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 155658
25 - 26, private, post-doctorate, not-married, customer-service, *, female, *, 108016
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 31740
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 53177
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 179736
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 158049
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 37732
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 26648
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 119019
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 196593
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 104291
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 154302
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 117113
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 172671
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 35621
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 73164
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 167161
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 164882
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 85842
27 - 28, private, post-doctorate, not-married, customer-service, *, female, *, 158729
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 168326
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 197288
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 51557
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 99611
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 52523
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 104330
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 82134
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 161784
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 65818
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 63524
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 197657
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 64424
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 143819
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 174668
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 19047
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 68943
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 42321
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 66307
29 - 36, non-government, post-doctorate, divorced, adm-clerical, *, female, *, 32976
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 11278
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 154413
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 190581
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 70291
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 53876
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 184661
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 194116
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 39512
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 125056
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 68018
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 126061
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 199622
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 188109
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 180570
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 22130
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 199807
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 62468
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 83566
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 146136
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 44711
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 59947
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 30757
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 62960
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 49685
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 57067
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 155970
29 - 37, non-government, post-doctorate, never-married, adm-clerical, *, female, north-america, 176143
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 52047
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 60634
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 155577
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 113587
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 92676
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 170012
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 147288
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 23958
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 125439
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 94367
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 173353
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 187108
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 51798
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 194623
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 168574
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 91728
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 197869
29 - 37, non-government, post-doctorate, not-married, sales, *, female, north-america, 106258
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 55011
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 46504
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 169868
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 151571
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 38811
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 195537
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 113936
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 190688
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 153146
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 180062
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 167633
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 107535
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 64491
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 59947
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 74200
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 175299
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 33624
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 186211
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 73240
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 100534
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 187202
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 38962
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 93130
29 - 37, private, post-doctorate, not-married, tech-support, *, female, united-states, 59475
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 198874
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 183042
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 169882
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 13781
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 166055
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 159739
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 27467
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 82001
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 168439
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 64113
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 54918
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 20599
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 77652
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 141116
24 - 36, non-government, post-doctorate, divorced, other-service, *, female, *, 94862
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 41848
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 79331
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 192542
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 154536
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 82363
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 65866
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 184721
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 89785
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 41277
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 105038
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 40413
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 31564
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 196695
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 32474
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 171671
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 154797
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 121238
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 102540
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 171367
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 25961
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 39197
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 134584
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 49502
20 - 24, non-government, post-doctorate, never-married, other-service, *, female, north-america, 38188
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 103576
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 32968
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 85328
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 170692
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 160434
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 174007
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 148893
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 65460
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 148735
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 112478
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 107981
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 137737
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 151633
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 41353
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 162129
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 36497
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 59258
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 191523
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 91211
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 42403
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 72734
25 - 37, non-government, post-doctorate, never-married, other-service, *, female, *, 153790
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 187392
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 19396
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 13846
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 37622
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 147305
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 172051
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 59813
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 197297
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 184544
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 186602
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 38218
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 90396
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 149949
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 37353
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 41325
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 77405
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 58809
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 12505
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 125178
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 102627
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 78391
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 85873
23 - 37, ?, post-doctorate, married, ?, *, *, north-america, 189522
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 121923
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 42073
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 100044
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 182017
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 124791
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 129360
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 49866
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 120252
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 16880
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 39804
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 163014
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 163617
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 58357
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 36255
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 39007
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 35545
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 169261
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 157676
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 18885
20 - 25, ?, post-doctorate, never-married, ?, *, *, *, 182142
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 164426
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 54473
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 123364
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 148449
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 22900
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 21832
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 142616
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 52106
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 26447
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 192793
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 113026
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 198918
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 168630
27 - 36, ?, post-doctorate, not-married, ?, *, *, *, 140476
38 - 81, government, pre-primary, *, *, *, *, *, 193267
38 - 81, government, pre-primary, *, *, *, *, *, 30781
38 - 81, government, pre-primary, *, *, *, *, *, 28527
38 - 81, government, pre-primary, *, *, *, *, *, 74138
38 - 81, government, pre-primary, *, *, *, *, *, 153314
38 - 81, government, pre-primary, *, *, *, *, *, 181396
38 - 81, government, pre-primary, *, *, *, *, *, 89866
38 - 81, government, pre-primary, *, *, *, *, *, 183007
38 - 81, government, pre-primary, *, *, *, *, *, 15019
38 - 81, government, pre-primary, *, *, *, *, *, 95191
38 - 81, government, pre-primary, *, *, *, *, *, 143023
38 - 81, government, pre-primary, *, *, *, *, *, 35888
38 - 81, government, pre-primary, *, *, *, *, *, 91397
38 - 81, government, pre-primary, *, *, *, *, *, 168452
38 - 81, government, pre-primary, *, *, *, *, *, 139232
38 - 81, government, pre-primary, *, *, *, *, *, 187081
38 - 41, private, pre-primary, married, *, *, male, *, 157409
38 - 41, private, pre-primary, married, *, *, male, *, 143567
38 - 41, private, pre-primary, married, *, *, male, *, 145364
38 - 41, private, pre-primary, married, *, *, male, *, 61241
38 - 41, private, pre-primary, married, *, *, male, *, 22686
38 - 41, private, pre-primary, married, *, *, male, *, 197721
38 - 41, private, pre-primary, married, *, *, male, *, 68995
38 - 41, private, pre-primary, married, *, *, male, *, 107016
38 - 41, private, pre-primary, married, *, *, male, *, 75810
38 - 41, private, pre-primary, married, *, *, male, *, 132260
38 - 41, private, pre-primary, married, *, *, male, *, 135740
38 - 41, private, pre-primary, married, *, *, male, *, 45764
38 - 41, private, pre-primary, married, *, *, male, *, 35933
38 - 41, private, pre-primary, married, *, *, male, *, 101511
38 - 41, private, pre-primary, married, *, *, male, *, 100219
38 - 41, private, pre-primary, married, *, *, male, *, 95288
38 - 41, private, pre-primary, married, *, *, male, *, 164944
38 - 41, private, pre-primary, married, *, *, male, *, 57794
38 - 41, private, pre-primary, married, *, *, male, *, 155729
38 - 41, private, pre-primary, married, *, *, male, *, 56988
38 - 41, private, pre-primary, married, *, *, male, *, 194761
38 - 41, private, pre-primary, married, *, *, male, *, 63196
38 - 41, private, pre-primary, married, *, *, male, *, 138142
38 - 41, private, pre-primary, married, *, *, male, *, 53160
38 - 41, private, pre-primary, married, *, *, male, *, 70552
42 - 45, non-government, pre-primary, married, *, *, male, *, 149105
42 - 45, non-government, pre-primary, married, *, *, male, *, 28027
42 - 45, non-government, pre-primary, married, *, *, male, *, 96814
42 - 45, non-government, pre-primary, married, *, *, male, *, 180227
42 - 45, non-government, pre-primary, married, *, *, male, *, 169036
42 - 45, non-government, pre-primary, married, *, *, male, *, 164830
42 - 45, non-government, pre-primary, married, *, *, male, *, 40029
42 - 45, non-government, pre-primary, married, *, *, male, *, 29756
42 - 45, non-government, pre-primary, married, *, *, male, *, 34019
42 - 45, non-government, pre-primary, married, *, *, male, *, 115076
42 - 45, non-government, pre-primary, married, *, *, male, *, 47745
42 - 45, non-government, pre-primary, married, *, *, male, *, 175128
42 - 45, non-government, pre-primary, married, *, *, male, *, 196140
42 - 45, non-government, pre-primary, married, *, *, male, *, 113955
42 - 45, non-government, pre-primary, married, *, *, male, *, 29469
42 - 45, non-government, pre-primary, married, *, *, male, *, 197414
42 - 45, non-government, pre-primary, married, *, *, male, *, 115676
42 - 45, non-government, pre-primary, married, *, *, male, *, 155679
42 - 45, non-government, pre-primary, married, *, *, male, *, 50677
42 - 45, non-government, pre-primary, married, *, *, male, *, 129580
42 - 45, non-government, pre-primary, married, *, *, male, *, 63902
42 - 45, non-government, pre-primary, married, *, *, male, *, 140071
46 - 49, non-government, pre-primary, married, *, *, male, *, 119109
46 - 49, non-government, pre-primary, married, *, *, male, *, 22571
46 - 49, non-government, pre-primary, married, *, *, male, *, 197254
46 - 49, non-government, pre-primary, married, *, *, male, *, 182299
46 - 49, non-government, pre-primary, married, *, *, male, *, 145647
46 - 49, non-government, pre-primary, married, *, *, male, *, 107587
46 - 49, non-government, pre-primary, married, *, *, male, *, 198314
46 - 49, non-government, pre-primary, married, *, *, male, *, 192137
46 - 49, non-government, pre-primary, married, *, *, male, *, 198335
46 - 49, non-government, pre-primary, married, *, *, male, *, 27829
46 - 49, non-government, pre-primary, married, *, *, male, *, 93469
46 - 49, non-government, pre-primary, married, *, *, male, *, 83359
46 - 49, non-government, pre-primary, married, *, *, male, *, 169636
46 - 49, non-government, pre-primary, married, *, *, male, *, 55190
46 - 49, non-government, pre-primary, married, *, *, male, *, 116576
46 - 49, non-government, pre-primary, married, *, *, male, *, 115218
46 - 49, non-government, pre-primary, married, *, *, male, *, 106307
46 - 49, non-government, pre-primary, married, *, *, male, *, 197135
46 - 49, non-government, pre-primary, married, *, *, male, *, 121973
46 - 49, non-government, pre-primary, married, *, *, male, *, 119302
46 - 49, non-government, pre-primary, married, *, *, male, *, 167988
46 - 49, non-government, pre-primary, married, *, *, male, *, 83977
46 - 49, non-government, pre-primary, married, *, *, male, *, 188808
50 - 52, non-government, pre-primary, married, *, *, male, *, 98839
50 - 52, non-government, pre-primary, married, *, *, male, *, 136159
50 - 52, non-government, pre-primary, married, *, *, male, *, 160965
50 - 52, non-government, pre-primary, married, *, *, male, *, 115192
50 - 52, non-government, pre-primary, married, *, *, male, *, 40827
50 - 52, non-government, pre-primary, married, *, *, male, *, 73565
50 - 52, non-government, pre-primary, married, *, *, male, *, 88374
50 - 52, non-government, pre-primary, married, *, *, male, *, 45651
50 - 52, non-government, pre-primary, married, *, *, male, *, 127760
50 - 52, non-government, pre-primary, married, *, *, male, *, 149678
50 - 52, non-government, pre-primary, married, *, *, male, *, 124880
50 - 52, non-government, pre-primary, married, *, *, male, *, 47956
50 - 52, non-government, pre-primary, married, *, *, male, *, 192106
50 - 52, non-government, pre-primary, married, *, *, male, *, 54238
50 - 52, non-government, pre-primary, married, *, *, male, *, 141254
50 - 52, non-government, pre-primary, married, *, *, male, *, 20585
50 - 52, non-government, pre-primary, married, *, *, male, *, 199642
53 - 55, non-government, pre-primary, married, *, *, male, *, 30741
53 - 55, non-government, pre-primary, married, *, *, male, *, 168467
53 - 55, non-government, pre-primary, married, *, *, male, *, 60551
53 - 55, non-government, pre-primary, married, *, *, male, *, 162504
53 - 55, non-government, pre-primary, married, *, *, male, *, 166236
53 - 55, non-government, pre-primary, married, *, *, male, *, 67873
53 - 55, non-government, pre-primary, married, *, *, male, *, 166689
53 - 55, non-government, pre-primary, married, *, *, male, *, 95529
53 - 55, non-government, pre-primary, married, *, *, male, *, 69806
53 - 55, non-government, pre-primary, married, *, *, male, *, 182110
53 - 55, non-government, pre-primary, married, *, *, male, *, 105435
53 - 55, non-government, pre-primary, married, *, *, male, *, 106257
53 - 55, non-government, pre-primary, married, *, *, male, *, 97875
53 - 55, non-government, pre-primary, married, *, *, male, *, 150806
53 - 55, non-government, pre-primary, married, *, *, male, *, 27728
53 - 55, non-government, pre-primary, married, *, *, male, *, 105779
53 - 55, non-government, pre-primary, married, *, *, male, *, 103864
53 - 55, non-government, pre-primary, married, *, *, male, *, 154117
53 - 55, non-government, pre-primary, married, *, *, male, *, 198345
53 - 55, non-government, pre-primary, married, *, *, male, *, 198089
53 - 55, non-government, pre-primary, married, *, *, male, *, 196960
53 - 55, non-government, pre-primary, married, *, *, male, *, 163232
56 - 57, non-government, pre-primary, married, *, *, male, *, 33492
56 - 57, non-government, pre-primary, married, *, *, male, *, 14467
56 - 57, non-government, pre-primary, married, *, *, male, *, 68906
56 - 57, non-government, pre-primary, married, *, *, male, *, 26581
56 - 57, non-government, pre-primary, married, *, *, male, *, 80496
56 - 57, non-government, pre-primary, married, *, *, male, *, 88022
56 - 57, non-government, pre-primary, married, *, *, male, *, 140200
56 - 57, non-government, pre-primary, married, *, *, male, *, 14497
56 - 57, non-government, pre-primary, married, *, *, male, *, 198385
56 - 57, non-government, pre-primary, married, *, *, male, *, 142520
56 - 57, non-government, pre-primary, married, *, *, male, *, 152640
56 - 57, non-government, pre-primary, married, *, *, male, *, 93692
56 - 57, non-government, pre-primary, married, *, *, male, *, 139823
56 - 57, non-government, pre-primary, married, *, *, male, *, 179490
56 - 57, non-government, pre-primary, married, *, *, male, *, 163321
56 - 57, non-government, pre-primary, married, *, *, male, *, 80775
56 - 57, non-government, pre-primary, married, *, *, male, *, 185335
56 - 57, non-government, pre-primary, married, *, *, male, *, 26597
58 - 61, non-government, pre-primary, married, *, *, male, *, 185660
