22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
50 - 51, government, some-college, married-civ-spouse, exec-managerial, black, male, united-states, 127414
50 - 51, government, some-college, married-civ-spouse, exec-managerial, black, male, united-states, 77720
57 - 65, government, some-college, married-civ-spouse, professional, black, male, united-states, 118073
57 - 65, government, some-college, married-civ-spouse, professional, black, male, united-states, 180354
51 - 52, federal-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 168760
51 - 52, federal-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 104564
54 - 55, federal-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 162878
54 - 55, federal-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 48878
50, federal-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 113773
50, federal-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 114164
50, federal-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 187069
54, federal-gov, some-college, married-civ-spouse, exec-managerial, white, male, central-north-america, 15776
53 - 54, federal-gov, hs-grad, married-civ-spouse, prof-specialty, white, male, united-states, 107149
53 - 54, federal-gov, hs-grad, married-civ-spouse, prof-specialty, white, male, united-states, 153236
51 - 54, federal-gov, some-college, married-civ-spouse, prof-specialty, white, male, united-states, 50862
51 - 54, federal-gov, some-college, married-civ-spouse, prof-specialty, white, male, united-states, 161628
50, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 15098
50, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 179874
53 - 54, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 118512
53 - 54, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 104416
52 - 55, local-gov, some-college, married-civ-spouse, professional, white, male, united-states, 139729
52 - 55, local-gov, some-college, married-civ-spouse, professional, white, male, united-states, 59398
51, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 98778
51, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 195183
50 - 54, state-gov, hs-grad, married-civ-spouse, prof-specialty, white, male, united-states, 35154
50 - 54, state-gov, hs-grad, married-civ-spouse, prof-specialty, white, male, united-states, 192723
50 - 54, state-gov, hs-grad, married-civ-spouse, prof-specialty, white, male, united-states, 10484
57 - 58, federal-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 138559
57 - 58, federal-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 17599
61, federal-gov, some-college, married-civ-spouse, professional, white, male, united-states, 134227
61, federal-gov, some-college, married-civ-spouse, professional, white, male, united-states, 162286
64 - 71, federal-gov, pre-university, married-civ-spouse, professional, white, male, united-states, 193838
64 - 71, federal-gov, pre-university, married-civ-spouse, professional, white, male, united-states, 162353
56 - 57, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 44612
56 - 57, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 105505
58 - 59, local-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 87471
58 - 59, local-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 124541
58 - 59, local-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 108573
63 - 66, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 26022
63 - 66, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 53979
69 - 77, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 76304
69 - 77, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 149004
69 - 77, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 129974
56 - 57, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 155282
56 - 57, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 68289
58 - 66, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 165932
58 - 66, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 114360
58 - 66, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 37143
52 - 53, federal-gov, some-college, married-civ-spouse, exec-managerial, asian-pac-islander, female, *, 159343
52 - 53, federal-gov, some-college, married-civ-spouse, exec-managerial, asian-pac-islander, female, *, 126145
38, government, some-college, married, exec-managerial, black, female, north-america, 58407
38, government, some-college, married, exec-managerial, black, female, north-america, 120446
39, state-gov, some-college, separated, professional, black, female, united-states, 156531
39, state-gov, some-college, separated, professional, black, female, united-states, 49389
41 - 50, government, hs-grad, married, professional, black, female, united-states, 179013
41 - 50, government, hs-grad, married, professional, black, female, united-states, 138229
41 - 50, government, hs-grad, married, professional, black, female, united-states, 60207
43 - 45, state-gov, hs-grad, married, exec-managerial, white, female, united-states, 190273
43 - 45, state-gov, hs-grad, married, exec-managerial, white, female, united-states, 111584
38 - 42, state-gov, some-college, married, exec-managerial, white, female, united-states, 121594
38 - 42, state-gov, some-college, married, exec-managerial, white, female, united-states, 118856
38 - 44, government, pre-university, married-civ-spouse, prof-specialty, white, female, united-states, 58066
38 - 44, government, pre-university, married-civ-spouse, prof-specialty, white, female, united-states, 117132
38 - 44, government, pre-university, married-civ-spouse, prof-specialty, white, female, united-states, 139224
48 - 51, local-gov, pre-university, married-civ-spouse, exec-managerial, white, female, united-states, 24334
48 - 51, local-gov, pre-university, married-civ-spouse, exec-managerial, white, female, united-states, 134647
53, government, hs-grad, married-civ-spouse, exec-managerial, white, female, united-states, 133001
53, government, hs-grad, married-civ-spouse, exec-managerial, white, female, united-states, 50231
55 - 63, local-gov, hs-grad, married-civ-spouse, professional, white, female, united-states, 195959
55 - 63, local-gov, hs-grad, married-civ-spouse, professional, white, female, united-states, 145216
52 - 54, government, pre-university, separated, exec-managerial, white, female, united-states, 160622
52 - 54, government, pre-university, separated, exec-managerial, white, female, united-states, 124803
56 - 58, federal-gov, some-college, married-civ-spouse, customer-service, asian-pac-islander, male, *, 78708
56 - 58, federal-gov, some-college, married-civ-spouse, customer-service, asian-pac-islander, male, *, 106094
39, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 113633
39, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 198342
45 - 46, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 78084
45 - 46, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 58432
39 - 40, federal-gov, some-college, married-civ-spouse, adm-clerical, black, male, united-states, 114146
39 - 40, federal-gov, some-college, married-civ-spouse, adm-clerical, black, male, united-states, 184965
41 - 45, government, some-college, married, adm-clerical, black, male, united-states, 130174
41 - 45, government, some-college, married, adm-clerical, black, male, united-states, 79181
41 - 45, government, some-college, married, adm-clerical, black, male, united-states, 67272
47 - 50, government, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 24449
47 - 50, government, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 143460
47 - 50, government, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 74375
47, federal-gov, some-college, married-civ-spouse, adm-clerical, black, male, united-states, 56615
47, federal-gov, some-college, married-civ-spouse, adm-clerical, black, male, united-states, 148491
53, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 36908
53, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 36275
58 - 70, government, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 33251
58 - 70, government, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 113766
58 - 70, government, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 74627
38, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 188990
38, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 112577
38, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 28486
39, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 137986
39, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 156609
40 - 42, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 11849
40 - 42, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 140528
40 - 42, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 99607
38 - 39, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 54598
38 - 39, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 163019
38 - 39, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 28482
38 - 39, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 165963
42, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, central-north-america, 198698
44 - 45, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 21341
44 - 45, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 198059
44 - 45, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 148256
46, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, *, 35283
46, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, *, 80817
47 - 48, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 166981
47 - 48, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 170360
47 - 48, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 101083
49, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 126247
49, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 169555
45 - 47, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, north-america, 146575
45 - 47, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, north-america, 60368
40 - 42, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 73073
40 - 42, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 193892
40 - 42, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 175647
44 - 49, federal-gov, some-college, married-civ-spouse, tech-support, white, male, north-america, 196950
44 - 49, federal-gov, some-college, married-civ-spouse, tech-support, white, male, north-america, 27744
44 - 49, federal-gov, some-college, married-civ-spouse, tech-support, white, male, north-america, 101489
38 - 41, local-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 17093
38 - 41, local-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 69219
38 - 41, local-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 83112
42 - 45, local-gov, pre-university, married-civ-spouse, customer-service, white, male, united-states, 91961
42 - 45, local-gov, pre-university, married-civ-spouse, customer-service, white, male, united-states, 51359
42 - 45, local-gov, pre-university, married-civ-spouse, customer-service, white, male, united-states, 180873
38 - 41, state-gov, pre-university, married-civ-spouse, adm-clerical, white, male, *, 64897
38 - 41, state-gov, pre-university, married-civ-spouse, adm-clerical, white, male, *, 10030
38 - 41, state-gov, pre-university, married-civ-spouse, adm-clerical, white, male, *, 41623
42 - 44, state-gov, hs-grad, married, adm-clerical, white, male, united-states, 33055
42 - 44, state-gov, hs-grad, married, adm-clerical, white, male, united-states, 21254
45 - 48, state-gov, pre-university, married-civ-spouse, adm-clerical, white, male, united-states, 36948
45 - 48, state-gov, pre-university, married-civ-spouse, adm-clerical, white, male, united-states, 167887
41 - 47, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 191955
41 - 47, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 13501
41 - 47, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 142448
50, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 130954
50, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 101817
51, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 142858
51, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 21711
51, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 124112
52, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 14215
52, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 31725
53 - 54, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 75379
53 - 54, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 179566
53 - 54, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 135481
50 - 52, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 35107
50 - 52, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 81031
53 - 55, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 163422
53 - 55, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 186607
53 - 55, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 137947
51 - 55, federal-gov, hs-grad, married-civ-spouse, tech-support, white, male, *, 149635
51 - 55, federal-gov, hs-grad, married-civ-spouse, tech-support, white, male, *, 92189
51 - 55, federal-gov, hs-grad, married-civ-spouse, tech-support, white, male, *, 140853
56 - 59, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 168116
56 - 59, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 46174
57 - 60, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 193879
57 - 60, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 130262
57 - 60, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 182147
59 - 60, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 106208
59 - 60, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 126139
59 - 60, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 76404
61, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 174755
61, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 196632
61, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 59263
62 - 72, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 66778
62 - 72, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 197739
62 - 72, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 79081
63 - 67, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 131357
63 - 67, federal-gov, pre-university, married-civ-spouse, tech-support, white, male, united-states, 164090
50 - 61, local-gov, pre-university, married-civ-spouse, adm-clerical, white, male, united-states, 20366
50 - 61, local-gov, pre-university, married-civ-spouse, adm-clerical, white, male, united-states, 45192
50 - 61, local-gov, pre-university, married-civ-spouse, adm-clerical, white, male, united-states, 199347
50 - 51, state-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 180948
50 - 51, state-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 18360
52 - 53, state-gov, pre-university, married-civ-spouse, customer-service, white, male, united-states, 93340
52 - 53, state-gov, pre-university, married-civ-spouse, customer-service, white, male, united-states, 92993
56 - 59, state-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 15467
56 - 59, state-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 121609
63 - 74, state-gov, pre-university, married, customer-service, white, male, united-states, 194285
63 - 74, state-gov, pre-university, married, customer-service, white, male, united-states, 92117
63 - 74, state-gov, pre-university, married, customer-service, white, male, united-states, 199541
39 - 45, state-gov, pre-university, married-civ-spouse, adm-clerical, asian-pac-islander, female, united-states, 14117
39 - 45, state-gov, pre-university, married-civ-spouse, adm-clerical, asian-pac-islander, female, united-states, 133499
38 - 41, government, pre-university, married-civ-spouse, adm-clerical, black, female, united-states, 133134
38 - 41, government, pre-university, married-civ-spouse, adm-clerical, black, female, united-states, 108048
45 - 47, government, hs-grad, married-spouse-absent, adm-clerical, black, female, north-america, 117342
45 - 47, government, hs-grad, married-spouse-absent, adm-clerical, black, female, north-america, 45455
38 - 47, government, pre-university, separated, adm-clerical, black, female, united-states, 196004
38 - 47, government, pre-university, separated, adm-clerical, black, female, united-states, 44725
38 - 47, government, pre-university, separated, adm-clerical, black, female, united-states, 195220
39 - 40, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 159155
39 - 40, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 83794
43 - 46, federal-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 67322
43 - 46, federal-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 177101
43 - 46, federal-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 109025
38 - 44, local-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 140358
38 - 44, local-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 66812
38 - 44, local-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 144404
40 - 43, local-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 123261
40 - 43, local-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 82659
40 - 43, local-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 65561
39 - 47, state-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 30780
39 - 47, state-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 20951
39 - 47, state-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 186214
41 - 47, state-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 22015
41 - 47, state-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 53084
46 - 47, federal-gov, pre-university, separated, adm-clerical, white, female, united-states, 50618
46 - 47, federal-gov, pre-university, separated, adm-clerical, white, female, united-states, 171812
39 - 42, state-gov, pre-university, separated, customer-service, white, female, united-states, 166129
39 - 42, state-gov, pre-university, separated, customer-service, white, female, united-states, 119959
45 - 46, state-gov, hs-grad, separated, adm-clerical, white, female, united-states, 61005
45 - 46, state-gov, hs-grad, separated, adm-clerical, white, female, united-states, 193797
45 - 46, state-gov, hs-grad, separated, adm-clerical, white, female, united-states, 82671
48 - 55, federal-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 113455
48 - 55, federal-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 47394
48 - 55, federal-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 44941
59 - 64, federal-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 75395
59 - 64, federal-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 76982
59 - 64, federal-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 91470
48 - 50, local-gov, hs-grad, married-civ-spouse, customer-service, white, female, united-states, 72931
48 - 50, local-gov, hs-grad, married-civ-spouse, customer-service, white, female, united-states, 50333
51 - 53, local-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 188579
51 - 53, local-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 109587
51 - 53, local-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 75814
59 - 64, local-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 85547
59 - 64, local-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 67605
59 - 64, local-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 27427
56 - 60, local-gov, some-college, married-civ-spouse, adm-clerical, *, female, united-states, 159687
56 - 60, local-gov, some-college, married-civ-spouse, adm-clerical, *, female, united-states, 40485
56 - 60, local-gov, some-college, married-civ-spouse, adm-clerical, *, female, united-states, 124372
51 - 55, state-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 184337
51 - 55, state-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 168030
51 - 55, state-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 29153
48 - 55, government, pre-university, married-spouse-absent, adm-clerical, *, female, united-states, 19140
48 - 55, government, pre-university, married-spouse-absent, adm-clerical, *, female, united-states, 138089
48 - 55, government, pre-university, married-spouse-absent, adm-clerical, *, female, united-states, 156269
54 - 64, government, pre-university, separated, adm-clerical, *, female, united-states, 96885
54 - 64, government, pre-university, separated, adm-clerical, *, female, united-states, 121392
54 - 64, government, pre-university, separated, adm-clerical, *, female, united-states, 95757
38, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 42890
38, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 92309
39, local-gov, hs-grad, married, protective-serv, white, male, united-states, 34239
39, local-gov, hs-grad, married, protective-serv, white, male, united-states, 84953
39, local-gov, hs-grad, married, protective-serv, white, male, united-states, 79897
41 - 42, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 188882
41 - 42, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 97648
38 - 39, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 86445
38 - 39, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 13688
38 - 39, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 183623
40 - 41, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 183655
40 - 41, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 188300
40 - 41, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 177591
42, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 122393
42, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 119013
42, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 165622
42, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 195478
43 - 44, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 60406
43 - 44, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 184540
45, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 14378
45, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 114455
46 - 47, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 46551
46 - 47, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 133168
43, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 32714
43, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 182902
44 - 45, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 57423
44 - 45, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 146758
44 - 45, local-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 32560
46, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 192139
46, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 47419
46, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 116330
46, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 135143
47 - 48, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 102452
47 - 48, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 114980
47 - 48, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 83942
42 - 46, state-gov, some-college, married-civ-spouse, protective-serv, black, male, united-states, 189395
42 - 46, state-gov, some-college, married-civ-spouse, protective-serv, black, male, united-states, 15365
39 - 43, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 87559
39 - 43, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 85216
39 - 43, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 188184
38 - 39, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 184915
38 - 39, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 80465
38 - 39, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 142498
42, state-gov, some-college, married-civ-spouse, protective-serv, white, male, central-north-america, 62847
44, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 122074
44, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 79311
48, state-gov, pre-university, married-civ-spouse, protective-serv, white, male, united-states, 199823
48, state-gov, pre-university, married-civ-spouse, protective-serv, white, male, united-states, 83048
48, state-gov, pre-university, married-civ-spouse, protective-serv, white, male, united-states, 102858
51 - 53, federal-gov, some-college, married-civ-spouse, protective-serv, *, male, *, 134884
51 - 53, federal-gov, some-college, married-civ-spouse, protective-serv, *, male, *, 78383
49, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 70397
49, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 172365
49, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 95186
49, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 111874
50 - 51, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 118373
50 - 51, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 142802
50 - 51, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 28093
52, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 25200
52, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 53603
49, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 154354
49, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 24128
50, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 174262
50, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 174234
50, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 137384
51 - 52, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 121084
51 - 52, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 71218
53, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 185779
53, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 147451
50 - 52, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 106288
50 - 52, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 197353
53, state-gov, pre-university, married-civ-spouse, protective-serv, white, male, united-states, 77875
53, state-gov, pre-university, married-civ-spouse, protective-serv, white, male, united-states, 131100
58 - 60, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 199888
58 - 60, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 115028
55 - 60, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 78677
55 - 60, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 103588
54, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 166863
54, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 180808
54, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 27025
55 - 60, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 128944
55 - 60, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 51538
55 - 60, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 117517
61 - 76, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 196523
61 - 76, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 79233
61 - 76, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 150432
63 - 67, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 161509
63 - 67, state-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 190272
69 - 71, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 39310
69 - 71, state-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 33087
51 - 59, government, pre-university, separated, protective-serv, *, male, united-states, 81687
