*, *, pre-primary, *, customer-service, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, <=50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 11th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, <=50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, 12th, *, unskilled, *, *, *, >50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
*, *, hs-grad, *, unskilled, *, *, *, <=50K
